ID,food_type,desc_text,cleaned
1681820,f,Veggie Omelette,"['veggie', 'omelette']"
451006,f,Ham Cheese And Crackers,"['ham cheese', 'cracker']"
202724,w,Water,['water']
2146749,f,Ham Cheese And Crackers,"['ham cheese', 'cracker']"
7353059,f,Turkey Avocado Sandwich,['turkey avocado sandwich']
8682556,w,Water,['water']
6319096,f,Oatmeal,['oatmeal']
2280856,f,Ham And Cheese Omelette,"['ham cheese', 'omelette']"
2385764,w,Water,['water']
3720912,b,Smoothie,['smoothie']
1619236,f,Oatmeal,['oatmeal']
659238,w,Water,['water']
3380386,f,Cookies,['cooky']
2749111,f,Breakfast Sandwich,['breakfast sandwich']
2128484,f,Pozole,['pozole']
1922772,w,Water,['water']
5412362,b,Smoothie,['smoothie']
191411,f,Cereal,['cereal']
3639464,w,Water,['water']
5416816,f,Ham And Cheese Omelette,"['ham cheese', 'omelette']"
4396575,f,Lentils Soup,['lentil soup']
2191608,w,Water,['water']
6196496,f,Oatmeal,['oatmeal']
8882642,w,Water,['water']
4292639,f,Breakfast Burrito,['breakfast burrito']
5746416,f,Ham Cheese And Crackers,"['ham cheese', 'cracker']"
335630,f,Teriyaki Chicken Bowl,"['teriyaki chicken', 'bowl']"
9120031,f,Oatmeal,['oatmeal']
7460378,f,Chicken And Veggie Soup,"['veggie soup', 'chicken']"
1790047,f,Eggs And Beacon,"['egg', 'beacon']"
3776076,w,Water,['water']
7296255,w,Water,['water']
5565636,f,Oatmeal,['oatmeal']
1668861,w,Water,['water']
8600600,f,Breakfast Burrito,['breakfast burrito']
7674957,f,Peanuts,['peanut']
4043454,f,Chicken And Veggie Soup,"['veggie soup', 'chicken']"
5426503,w,Water,['water']
4335010,f,Oatmeal,['oatmeal']
4007875,w,Water,['water']
4724212,f,Chorizo Egg N Beans,"['chorizo', 'egg', 'n', 'bean']"
880390,w,Water,['water']
3284568,w,Water,['water']
9411526,f,Ham Cheese And Crackers,"['ham cheese', 'cracker']"
2001507,f,Oatmeal,['oatmeal']
5777308,w,Water,['water']
4364542,f,Scrambled Eggs With Cactus,"['scrambled egg', 'cactus']"
6252268,w,Water,['water']
8255613,f,Turkey Chili,['turkey chili']
4444223,f,Oatmeal,['oatmeal']
7837319,w,Water,['water']
3052866,f,Breakfast Burrito,['breakfast burrito']
4097100,w,Water,['water']
8577583,f,Chicken And Veggie Soup,"['veggie soup', 'chicken']"
5510463,f,Ham Cheese And Crackers,"['ham cheese', 'cracker']"
1397876,f,Oatmeal,['oatmeal']
924605,f,2 Slices Of Pizza,"['slice', 'pizza']"
2571755,w,Water,['water']
9385407,f,Bean Burrito,['bean burrito']
7414794,f,Torta De Milanessa,"['torta', 'de']"
1511539,w,Water,['water']
3518421,w,Water,['water']
4106923,w,Water,['water']
6137715,f,Oatmeal,['oatmeal']
8456967,w,Water,['water']
9591387,f,Breakfast Burrito,['breakfast burrito']
3801115,w,Water,['water']
6783621,f,Torta De Milanessa,"['torta', 'de']"
9016126,b,Guanabana Tea,['tea']
4979605,f,Oatmeal,['oatmeal']
911809,f,Eggs And Beacon,"['egg', 'beacon']"
4982183,f,Toast,['toast']
227455,w,Water,['water']
943408,b,Orange Juice,['orange juice']
1141206,w,Water,['water']
596662,f,Almonds,['almond']
1738856,f,Chicken Strips N Fries,"['chicken strip', 'n', 'fry']"
5462904,w,Water,['water']
7894048,w,Water,['water']
740506,f,Oatmeal,['oatmeal']
9819907,f,Breakfast Sandwich,['breakfast sandwich']
4810823,f,Wendys Chocolate Frosty,"['chocolate', 'frosty']"
6304481,f,Ham Cheese And Crackers,"['ham cheese', 'cracker']"
9951528,f,Fish Tacos Rice N Beans,"['fish taco', 'rice', 'n', 'bean']"
8093193,w,Water,['water']
9317046,f,Oatmeal,['oatmeal']
8445875,f,Egg In The Middle W Beacon,"['egg', 'w', 'beacon']"
2095665,w,Water,['water']
1400011,f,Tangerine,['tangerine']
1719666,f,Turkey Chili,['turkey chili']
3172732,w,Water,['water']
6466606,w,Water,['water']
342019,f,Spaghetti And Pork Chops,"['pork chop', 'spaghetti']"
4623544,w,Water,['water']
9826236,f,Oatmeal,['oatmeal']
3219974,w,Water,['water']
8257339,f,Carne Asada Rice Beans,"['carne asada', 'rice bean']"
2157613,w,Water,['water']
5833568,w,Water,['water']
5877703,f,Tangerine,['tangerine']
4125582,b,Guanabana Tea,['tea']
1849144,b,Smoothie,['smoothie']
6893915,w,Water,['water']
2106542,f,Oatmeal,['oatmeal']
9698420,w,Water,['water']
4094624,f,Tangerine,['tangerine']
3652162,w,Water,['water']
1400198,f,Almonds,['almond']
8799075,b,Guanabana Tea,['tea']
274036,w,Water,['water']
9878756,f,Oatmeal,['oatmeal']
5748653,f,Breakfast Sandwich,['breakfast sandwich']
743555,w,Water,['water']
4716380,f,Banana Bread,['banana bread']
4138953,w,Water,['water']
8008388,f,Cheese Burger,['cheese burger']
9989053,f,Chicken Avocado Salad,"['avocado salad', 'chicken']"
964042,w,Water,['water']
5027114,b,Guanabana Tea,['tea']
7406574,f,Oatmeal,['oatmeal']
380929,f,Pancakes,['pancake']
8450163,w,Water,['water']
7229850,f,Tangerine,['tangerine']
4206348,f,Turkey Avocado Sandwich,['turkey avocado sandwich']
1376640,f,Chips,['chip']
2634634,w,Water,['water']
2763031,w,Water,['water']
7368678,f,Oatmeal,['oatmeal']
5709354,f,Avocado Toast,['avocado toast']
4183512,w,Water,['water']
1890353,f,Chinese Food,"['chinese', 'food']"
1835145,w,Water,['water']
3968345,f,Pork Loin Veggies And Rice,"['pork loin', 'veggie', 'rice']"
8662342,w,Water,['water']
1279163,f,Oatmeal,['oatmeal']
596018,w,Water,['water']
5976401,f,Eggs And Beacon,"['egg', 'beacon']"
4640352,w,Water,['water']
8216994,f,Turkey Avocado Sandwich,['turkey avocado sandwich']
200081,w,Water,['water']
624988,f,Honey Nut Cheerios,['honey nut cheerio']
4658044,f,Eggs With Tortillas,"['egg', 'tortilla']"
7740142,w,Water,['water']
117950,f,Tangerine,['tangerine']
460223,w,Water,['water']
1692423,f,2 Slices Of Pizza,"['slice', 'pizza']"
7177093,w,Water,['water']
2984945,f,Honey Nut Cheerios,['honey nut cheerio']
5705131,w,Water,['water']
6104022,f,Eggs With Tortillas,"['egg', 'tortilla']"
5233287,w,Water,['water']
7984049,f,Carne Asada Rice Beans,"['carne asada', 'rice bean']"
5670359,f,Honey Nut Cheerios,['honey nut cheerio']
3934204,w,Water,['water']
5548522,w,Water,['water']
3900826,f,Breakfast Sandwich,['breakfast sandwich']
5749259,f,Carne Asada Rice Beans,"['carne asada', 'rice bean']"
5015538,w,Water,['water']
7531606,f,Oatmeal,['oatmeal']
1943269,w,Water,['water']
2688528,f,Ham And Cheese Omelette,"['ham cheese', 'omelette']"
3992699,w,Water,['water']
5513283,f,Cheese Burger N Fries,"['cheese burger', 'n', 'fry']"
736457,w,Water,['water']
5843532,f,Green Enchiladas,"['green', 'enchilada']"
8304471,w,Water,['water']
6339198,b,Guanabana Tea,['tea']
7020758,w,Water,['water']
9850357,f,Oatmeal,['oatmeal']
36778,w,Water,['water']
5935711,f,Ham And Cheese Omelette,"['ham cheese', 'omelette']"
539653,w,Water,['water']
1648126,f,Carne Asada Rice Beans,"['carne asada', 'rice bean']"
6332755,f,Chip And Salsa,['chip salsa']
1909769,w,Water,['water']
7601645,f,Quesadilla,['quesadilla']
6486514,w,Water,['water']
9797353,f,Chicken Rice N Veggies,"['chicken', 'rice', 'n', 'veggie']"
2572008,w,Water,['water']
5342475,f,Oatmeal,['oatmeal']
8959067,w,Water,['water']
2050940,f,Soupitas,[]
7075943,w,Water,['water']
4616911,f,Oatmeal,['oatmeal']
2979797,w,Water,['water']
4813992,f,Chorizo Egg N Beans,"['chorizo', 'egg', 'n', 'bean']"
215747,f,Caesar Salad W Chicken,"['caesar salad', 'w', 'chicken']"
7158510,w,Water,['water']
1436265,f,Chicken Cheese Quesadilla,"['chicken', 'cheese', 'quesadilla']"
1904228,f,Oatmeal,['oatmeal']
3495566,f,Ham And Cheese Omelette,"['ham cheese', 'omelette']"
6576359,w,Water,['water']
8731880,f,Carne Asada Rice Beans,"['carne asada', 'rice bean']"
1225841,w,Water,['water']
7922753,f,Oatmeal,['oatmeal']
4382266,f,Chorizo Egg N Beans,"['chorizo', 'egg', 'n', 'bean']"
6456471,f,Half Of Avocado,['half avocado']
1167312,w,Water,['water']
7675690,f,Cheese Burger,['cheese burger']
4732544,f,Oatmeal,['oatmeal']
2815348,w,Water,['water']
9695885,f,Ham And Cheese Omelette,"['ham cheese', 'omelette']"
5185866,w,Water,['water']
904126,f,Biscuits,['biscuit']
4110404,f,Chicken Dinner,"['chicken', 'dinner']"
6537144,w,Water,['water']
13738,f,Oatmeal,['oatmeal']
6105238,w,Water,['water']
6005185,f,Breakfast Sandwich,['breakfast sandwich']
7791955,w,Water,['water']
4963287,f,Ham Cheese And Crackers,"['ham cheese', 'cracker']"
5908487,f,Philly Cheese Steak Dinner,"['philly cheese steak', 'dinner']"
6557765,w,Water,['water']
6078122,f,Cereal,['cereal']
1863651,w,Water,['water']
1133671,f,Eggs And Beacon,"['egg', 'beacon']"
212441,w,Water,['water']
584913,f,Chicken Ceasar Salad,"['chicken', 'salad']"
8800594,f,Ham Cheese And Crackers,"['ham cheese', 'cracker']"
2108626,w,Water,['water']
7150735,f,Oatmeal,['oatmeal']
5011741,w,Water,['water']
695950,f,Breakfast Sandwich,['breakfast sandwich']
9090211,w,Water,['water']
4070027,f,Ham Cheese And Crackers,"['ham cheese', 'cracker']"
4821881,f,Carne Asada Rice Beans,"['carne asada', 'rice bean']"
3445094,w,Water,['water']
5482159,f,Oatmeal,['oatmeal']
2588793,f,Denver Omelet,"['denver', 'omelet']"
4431539,w,Water,['water']
8399278,f,Ham Cheese And Crackers,"['ham cheese', 'cracker']"
9737536,f,Oatmeal,['oatmeal']
9767709,f,Breakfast Burrito,['breakfast burrito']
2203701,w,Water,['water']
1867621,f,Pretzels,['pretzel']
6874250,w,Water,['water']
5759607,f,Chicken Rice N Veggies,"['chicken', 'rice', 'n', 'veggie']"
9417691,w,Water,['water']
1351016,f,Oatmeal,['oatmeal']
9744209,w,Water,['water']
1359096,f,Eggs Ranchero,['egg']
5738332,w,Water,['water']
9070931,f,Tangerine,['tangerine']
3176661,f,Garden Salad Pizza,"['garden salad', 'pizza']"
5231290,w,Water,['water']
9365365,f,Oatmeal,['oatmeal']
5279483,f,Breakfast Sandwich,['breakfast sandwich']
7703315,w,Water,['water']
5100894,f,Peanuts,['peanut']
1513373,w,Water,['water']
1784271,f,Ham Cheese And Crackers,"['ham cheese', 'cracker']"
1200674,w,Water,['water']
3013609,f,Chicken Rice N Veggies,"['chicken', 'rice', 'n', 'veggie']"
1602685,w,Water,['water']
4036915,f,Oatmeal,['oatmeal']
1326831,w,Water,['water']
8763821,f,Breakfast Sandwich,['breakfast sandwich']
9233179,w,Water,['water']
1928819,f,Ham Cheese And Crackers,"['ham cheese', 'cracker']"
4542528,f,Shrimp And Salmon Tacos,"['shrimp', 'salmon', 'taco']"
646939,w,Water,['water']
1840687,w,Water,['water']
3580434,f,Oatmeal,['oatmeal']
5331017,f,Eggs And Beacon,"['egg', 'beacon']"
9268165,f,Chicken Nuggets,['chicken nugget']
7674950,w,Water,['water']
1466630,w,Water,['water']
6026315,f,Pretzels,['pretzel']
9583530,f,Hamburger N Salad,"['hamburger', 'n', 'salad']"
4427781,w,Water,['water']
1985190,f,Oatmeal,['oatmeal']
8127043,w,Water,['water']
3008517,f,Breakfast Sandwich,['breakfast sandwich']
5069749,w,Water,['water']
5095416,f,Pasta Salad,['pasta salad']
2387937,f,Pretzels,['pretzel']
5216434,f,Green Enchiladas,"['green', 'enchilada']"
1019523,w,Water,['water']
1479154,w,Water,['water']
1753021,f,Oatmeal,['oatmeal']
7771936,w,Water,['water']
4961412,f,Breakfast Burrito,['breakfast burrito']
8490557,w,Water,['water']
6034852,f,Ham Cheese And Crackers,"['ham cheese', 'cracker']"
1162636,f,Chicken Sandwich,['chicken sandwich']
829841,w,Water,['water']
7258035,f,Cereal,['cereal']
9387849,f,Pancakes Beacon N Eggs,"['pancake', 'beacon', 'n', 'egg']"
1762581,w,Water,['water']
6679759,w,Water,['water']
4289935,f,Ham Cheese And Crackers,"['ham cheese', 'cracker']"
1268916,f,Green Enchiladas,"['green', 'enchilada']"
1877824,b,Smoothie,['smoothie']
771281,f,Cereal,['cereal']
9095842,f,Pancakes Beacon N Eggs,"['pancake', 'beacon', 'n', 'egg']"
8876063,w,Water,['water']
6649990,f,Pretzels,['pretzel']
7993770,w,Water,['water']
687301,f,Hamburger N Salad,"['hamburger', 'n', 'salad']"
