,ID,food_type,desc_text,cleaned
5078,1868592,b,Mug Of Tea,"['mug', 'tea']"
5079,9074069,w,Water,['water']
5080,3378155,f,Hand Full Almonds,"['full', 'almond']"
5081,7242583,f,Sausages Tomato Coleslaw,"['sausage', 'tomato', 'coleslaw']"
5082,5130331,w,Large Glass Water,"['large', 'glass', 'water']"
5083,9164157,b,Pint Low Cal Cider,"['low', 'cider']"
5084,1814051,b,Pint Low Cal Cider,"['low', 'cider']"
5085,3897342,b,Pint Low Cal Cider,"['low', 'cider']"
5086,3809901,f,"Four Star Veggie Gluten Free, Pizza","['gluten free', 'veggie', 'pizza']"
5087,7673914,b,Small Glass Red Wine,"['small glass', 'red wine']"
5088,3586203,b,Small Glass Red Wine,"['small glass', 'red wine']"
5089,1567928,b,Small Glass Red Wine,"['small glass', 'red wine']"
5090,8355572,b,Small Glass White Wine,"['small glass', 'white wine']"
5091,9714870,w,Water,['water']
5092,6160163,w,Water,['water']
5093,846783,w,Water,['water']
5094,967334,f,Lettuce Soup,"['lettuce', 'soup']"
5095,4403471,f,Banana,['banana']
5096,6580230,w,Large Glass Water,"['large', 'glass', 'water']"
5097,5593475,f,"Chicken Salad, Coleslaw, Peppers, Mixed Leave","['chicken salad', 'coleslaw', 'pepper', 'mixed']"
5098,2810391,b,Mug Of Tea,"['mug', 'tea']"
5099,6596515,f,Quarter Cantaloupe Melon,"['quarter', 'cantaloupe', 'melon']"
5100,2166837,w,Water,['water']
5101,7537121,w,Pint Water,['pint water']
5102,8567465,b,Pint Low Cal Cider,"['low', 'cider']"
5103,3228207,b,Pint Low Cal Cider,"['low', 'cider']"
5104,5460522,f,Roast Chicken,['roast chicken']
5105,6883091,f,"Roast Potatoes, Asparagus, Onions, Creamed Carrots","['roast potato', 'asparagus', 'onion', 'carrot']"
5106,8219974,b,Small Glass Red Wine,"['small glass', 'red wine']"
5107,9175366,b,Small Glass Red Wine,"['small glass', 'red wine']"
5108,2075167,b,Small Glass Red Wine,"['small glass', 'red wine']"
5109,5088573,b,Small Glass White Wine,"['small glass', 'white wine']"
5110,9803124,b,Small Glass White Wine,"['small glass', 'white wine']"
5111,6924225,w,Large Glass Water,"['large', 'glass', 'water']"
5112,6646468,w,Water,['water']
5113,2110863,w,Water,['water']
5114,1103594,w,Pint Water,['pint water']
5115,2642807,w,Water,['water']
5116,2704212,w,Water,['water']
5117,8159202,w,Water,['water']
5118,7203503,f,Lettuce Soup,"['lettuce', 'soup']"
5119,6038836,f,Cornetto Ice Cream,"['ice cream', 'cornetto']"
5120,3183456,w,Water,['water']
5121,165518,f,"Chilli Beef Peppers Tomato, Mushrooms, Rice","['chilli', 'beef', 'pepper', 'tomato', 'mushroom', 'rice']"
5122,1622932,f,Half A Cantaloupe Melon,"['half', 'cantaloupe', 'melon']"
5123,3364841,w,Large Glass Water,"['large', 'glass', 'water']"
5124,9328494,w,Large Glass Water,"['large', 'glass', 'water']"
5125,1311639,b,Glass Orange Juice,"['orange juice', 'glass']"
5126,190524,f,"2 Small Baked Potatoes, Half Fat Butter","['baked potato', 'small', 'half', 'butter']"
5127,3726502,w,Water,['water']
5128,4918399,w,Water,['water']
5129,7154215,w,Water,['water']
5130,4080868,w,Large Glass Water,"['large', 'glass', 'water']"
