gram_key,brand name,description,corrected spelling,food_type,gram_type,tag1,tag2,tag3,tag4,tag5,tag6,tag7,equivalent,reference,comment
fruit protein smoothie,,fruit and protein smoothie,fruit and protein smoothie,b,3,"fruit, protein",protein smoothie,,,supplement,incomplete,4,,,
coffee collagen protein,,coffee with collagen and protein powder,coffee with collagen and protein powder,b,3,"coffee, protein",protein powder,,"caffeine, additive",supplement,complete,4,,,
coffee almond creamer,,coffee with almond creamer,coffee with almond creamer,b,3,"coffee, dairy alternative",creamer,,"caffeine, added sugar",,complete,4,,,
apple cider vinegar,,apple cider vinegar,,b,3,other,,,,,complete,2,,,
brain octain oil,,brain octane oil,brain octane oil,b,3,other,,,additive,supplement,complete,2,,,
coffee cream sugar,,coffee with cream and sugar,coffee with cream and sugar,b,3,"coffee, dairy",cream,,"caffeine, added sugar, saturated fat",,complete,4,,,
latte sugar syrup,,latte with sugar syrup,latte with sugar syrup,b,3,"coffee, dairy, other","milk, syrup",,"caffeine, additive, added sugar",,incomplete,4,,,
coffee mct oil,,coffee with mct oil,coffee with mct oil,b,3,coffee,,,"caffeine, additive",,complete,3,,,
coffee milk sugar,,coffee with milk and sugar,coffee with milk and sugar,b,3,"coffee, dairy",milk,,"caffeine, added sugar",,complete,3,,,
coffee soy creamer,,coffee with soy creamer,coffee with soy creamer,b,3,"coffee, dairy alternative",creamer,,"caffeine, added sugar",,complete,4,,,
coffee raw sugar,,coffee with raw sugar,coffee with raw sugar,b,3,coffee,,,"caffeine, added sugar",,complete,3,,,
alm milk cream,,almond milk creamer,almond milk creamer,b,3,dairy alternative,creamer,,additive,,incomplete,4,,,
cold brew coffee,,cold brew,,b,3,coffee,,,caffeine,,complete,1,,,
protein powder scoop,,protein powder,,"b, modifier",3,protein,protein powder,,,,incomplete,4,,,
tb maple syrup,,maple syrup,,b,3,other,syrup,,,,complete,2,,,
large coffee milk,,coffee with milk,coffee with milk,"modifier, b",3,"coffee, dairy",milk,,caffeine,,incomplete,1,,,
thorne protein powder,thorne,protein powder,,b,3,protein,protein powder,,,supplement,incomplete,4,,,
coffee maple syrup,,coffee with maple syrup,,b,3,"coffee, other",syrup,,"caffeine, additive, added sugar",,complete,3,,,
strawberry banana smoothie,,strawberry banana smoothie,,b,3,juice/smoothie,fruit,,,,incomplete,1,,,
iced coffee cream,,iced coffee with cream,iced coffee with cream,b,3,"coffee, dairy",cream,,"caffeine, saturated fat",,complete,4,,,
whole milk latte,,latte with whole milk,latte with whole milk,b,3,"coffee, dairy",milk,,"caffeine, saturated fat",,complete,1,,,
heavy whipping cream,,heavy whipping cream,,b,3,dairy,cream,,saturated fat,,complete,4,,,
nitro cold brew,,cold brew,,b,3,coffee,,,caffeine,,complete,1,,,
superfood creamer tb,laird superfood,creamer,laird superfood creamer,"b, modifier",3,dairy alternative,creamer,,"added sugar, additive",,complete,4,,,
iced coffee superfood,,iced coffee with superfood creamer,iced coffee with superfood creamer,b,3,"coffee, dairy alternative",creamer,,"caffeine, added sugar, additive",,complete,4,,,
small almond milk,,almond milk,small amond milk,"modifier, b",3,dairy alternative,nut,,,,complete,4,,,
fruit spinach shake,,fruit and spinach shake,fruit and spinach shake,b,3,juice/smoothie,fruit & vegetable,,,,incomplete,1,,,
coffee mct creamer,,coffee with creamer and mct oil,coffee with creamer and mct oil,b,3,"coffee, dairy alternative",creamer,,"caffeine, artificial sweetener",,complete,4,,,
coffee superfood creamer,,coffee with superfood creamer,coffee with superfood creamer,b,3,"coffee, dairy alternative",creamer,,"caffeine, added sugar, additive",,complete,4,,,
coffee maple syrup cream,,coffee with maple syrup and cream,coffee with maple syrup and cream,b,4,"coffee, dairy, other","cream, syrup",,"caffeine, added sugar, saturated fat",,complete,4,,,
monster energy absolute zero,monster,monster energy absolute zero,,b,4,energy drink,zero,,"caffeine, artificial sweetener",,complete,4,,,
coffee half half sugar,,coffee with half and half and sugar,coffee with half and half and sugar,b,4,"coffee, dairy",half and half,,"caffeine, additive, added sugar",,complete,4,,,
almond milk protein smoothie,,protein smoothie with almond milk,protein smoothie with almond milk,b,4,"protein, dairy alternative","nut, protein smoothie",,,supplement,complete,4,,,
small almond milk cap,,cappuccino with almond milk,small almond milk cappuccino,b,4,"coffee, dairy alternative",nut,,caffeine,,complete,4,,,
thorne protein powder scoop,thorne,protein powder,,b,4,protein,protein powder,,,supplement,complete,4,,,
small almond milk cappuccino,,cappuccino with almond milk,small almond milk cappuccino,"modifier, b",4,"coffee, dairy alternative",nut,,caffeine,,complete,4,,,
coffee alm milk cream,,coffee with almond milk and cream,coffee with almond milk and cream,b,4,"coffee, dairy, dairy alternative","cream, nut",,"caffeine, saturated fat",,complete,4,,,
organic fruit spinach shake,,fruit and spinach shake,organic fruit and spinach shake,b,4,juice/smoothie,fruit and vegetable,,organic,,incomplete,1,,,
protein powder scoop coconut,,,,b,4,,,,,,vague,4,,,
iced coffee superfood creamer,,iced coffee with superfood creamer,iced coffee with superfood creamer,b,4,"coffee, dairy alternative",creamer,,"caffeine, added sugar, additive",,complete,4,,,
white claw hard seltzer,white claw,hard seltzer,,b,4,alcohol,hard seltzer,,,,complete,4,,,
