gram_key,brand name,description,corrected spelling,food_type,gram_type,tag1,tag2,tag3,tag4,tag5,tag6,tag7,equivalent,reference,comment
pork sandwich,,pork sandwich,,f,2,"grain, protein","wheat, pork",,"high sodium, saturated fat ",,incomplete,4,,,
pita chip,,pita chip,,f,2,grain,wheat,,"high sodium, highly processed",,complete,4,,,
chicken salad,,chicken salad,,f,2,"protein, dairy","poultry, mayo",chicken,high sodium,,incomplete,3,,,
veggie wrap,,vegetable wrap,,f,2,vegetable,,,,,incomplete,3,,,
garbanzo bean,,garbanzo bean,,f,2,protein,legume,bean,,,complete,1,,,
chicken taco,,chicken taco,,f,2,"grain, protein","corn, poultry",chicken,high sodium,,incomplete,3,,,
fish taco,,fish taco,,f,2,"grain, protein","corn, seafood",fish,high sodium,,incomplete,3,,,
al pastor,,al pastor,,f,2,protein,pork,,high sodium,,incomplete,3,,,
fig bar,,fig bar,,f,2,"grain, fruit",,,added sugar,bars,incomplete,4,,,
turkey salad,,turkey salad,,f,2,"protein, vegetable",poultry,turkey,,,incomplete,3,,,
pb bar,,peanut butter bar ,,f,2,nut,peanut,,unsaturated fat,,incomplete,4,,,
french fry,,french fry,,f,2,vegetable,root,,,"high sodium, fried",complete,4,,,
green salad,,green salad,,f,2,vegetable,leafy,,,,incomplete,3,,,
cheese burger,,cheese burger,,f,2,"grain, protein, dairy","wheat, red meat, cheese",beef,"saturated fat, high sodium",,incomplete,4,,,
bbq chicken,,barbecue chicken,,f,2,protein,poultry,chicken,"added sugar, high sodium",,incomplete,3,,,
raw almond,,raw almond,,f,2,nut,almond,,,,complete,1,,,
avocado salad,,avocado salad,,f,2,"vegetable, fruit","leafy, stone",,,,incomplete,3,,,
feta cheese,,feta cheese,,f,2,dairy,cheese,,saturated fat,,complete,3,,,
egg roll,,egg roll,,f,2,,,,,,vague,3,,,
corned beef,,corned beef,,f,2,protein,red meat,beef,"saturated fat, high sodium",,complete,3,,,
pasta salad,,pasta salad,,f,2,grain,wheat,,,,incomplete,3,,,
banana bread,,banana bread,,f,2,dessert/sweet treat,baked good,,added sugar,,incomplete,4,,,
surf turf,,surf and turf,surf and turf,f,2,protein,"red meat, seafood",beef,,,vague,3,,,
chicken fried,,fried chicken ,fried chicken ,f,2,protein,poultry,chicken,"saturated fat, high sodium, fried",,complete,3,"chicken fried, fried chicken",,
tri tip,,tri tip,,f,2,protein,red meat,beef,saturated fat,,complete,3,,,
taco salad,,taco salad,,f,2,,,,,,vague,3,,,
roasted veggie,,roasted vegetable,,f,2,vegetable,,,,,incomplete,3,,,
ranch dressing,,ranch dressing,,f,2,dairy,milk,,,dressing,incomplete,4,,,
fish burrito,,fish burrito,,f,2,"grain, protein","wheat, seafood",fish,high sodium,,incomplete,3,,,
veggie sandwich,,vegetable sandwich,,f,2,"grain, vegetable",wheat,,high sodium,,incomplete,4,,,
brussel sprout,,brussel sprout,,f,2,vegetable,,,,,complete,1,,,
egg burrito,,egg burrito,,f,2,"wheat, protein",eggs,,high sodium,,incomplete,3,,,
onion ring,,onion ring,,f,2,"grain, vegetable","wheat, root",,"high sodium, fried",,incomplete,3,,,
goat cheese,,goat cheese,,f,2,dairy,cheese,,saturated fat,,complete,3,,,
monster energy drink,monster energy drink,energy drink,,b,3,energy drink,,,"added sugar, caffeine",,complete,4,,,
bbq chicken salad,,barbecue chicken salad,barbecue chicken salad,f,3,"protein, vegetable","poultry, leafy",chicken,"added sugar, high sodium",,incomplete,3,,,
sweet potato fry,,sweet potato fry,,f,3,vegetable,root,,"high sodium, fried",,incomplete,3,,,
organic granola fruit,,organic granola fruit,,f,3,"grain, fruit",oat,,"added sugar, organic",,incomplete,3,,,
chicken cesar salad,,chicken caesar salad ,chicken caesar salad ,f,3,"grain, protein, dairy, vegetable","wheat, poultry, cheese, leafy",chicken,,dressing,incomplete,3,,,
chocolate chip cooky,,chocolate chip cookie,chocolate chip cookie,f,3,dessert/sweet treat,"baked good, chocolate",,added sugar,,incomplete,4,,,
pollo asada burrito,,pollo asada burrito,,f,3,"grain, protein","wheat, poultry",chicken,high sodium,,incomplete,3,,,
honey bunch oat,,honey bunches of oats,honey bunches of oats,f,3,grain,cereal grain,,added sugar,,incomplete,4,,,
vegan oatmeal cookie,,vegan oatmeal cookie,,f,3,dessert/sweet treat,baked good,,added sugar,,incomplete,4,,,
butter maple syrup,,butter and maple syrup,butter and maple syrup,f,3,"dairy, other",butter,,sweetener,,complete,2,,,
bean cheese burrito,,bean cheese burrito,,f,3,"grain, protein, dairy","wheat, legume, cheese",bean,"high sodium, saturated fat",,incomplete,3,,,
tortilla chip salsa,,tortilla chips and salsa,,f,3,"grain, fruit ",corn,,"high sodium, highly processed",,incomplete,4,,,
greek chicken salad,,greek chicken salad,,f,3,"protein, dairy, vegetable","poultry, cheese, leafy",chicken,,dressing,incomplete,3,,,
mixed green avocado,,mixed greens with avocado,mixed greens with avocado,f,3,"vegetable, fruit","leafy, stone fruit",,unsaturated fat,,incomplete,1,,,
pasta meat sauce,,pasta with meat sauce,pasta with meat sauce,f,3,"grain, protein",wheat,,,,incomplete,3,,,
egg hard boiled,,hard boiled egg,hard boiled egg,f,3,protein,eggs,,,,complete,1,,,
salad ranch dressing,,salad with ranch dressing,salad with ranch dressing,f,3,"vegetable, dairy",leafy,,,dressing,incomplete,4,,,
grilled chicken salad,,grilled chicken salad,,f,3,"protein, vegetable","poultry, leafy",chicken,,,incomplete,3,,,
peanut butter pretzel,,peanut butter pretzel,,f,3,"grain, nut","wheat, peanut butter",,"unsaturated fat, high sodium",,complete,4,,,
nature valley bar,nature valley bar,granola bar,,f,3,grain,oat,,added sugar,,incomplete,4,,,
black bean rice,,black beans and rice,black beans and rice,f,3,"grain, protein","rice, legume",bean,,,complete,3,,,
whole wheat bread,,whole wheat bread,,f,3,grain,wheat,,high sodium,,complete,3,,,
turkey sandwich chip,,turkey sandwich and chips,turkey sandwich and chips,f,3,"grain, protein, vegetable","wheat, poultry, root",turkey,"high sodium, highly processed",,incomplete,4,,,
vanilla ice cream,,vanilla ice cream,,f,3,dairy,ice cream,,"added sugar, saturated fat",,incomplete,4,,,
shredded chicken salad,,shredded chicken salad,,f,3,"protein, vegetable","poultry, leafy",chicken,,,incomplete,3,,,
carne asada fry,,carne asada fries,carne asada fries,f,3,"protein, vegetable","red meat, root",beef,"high sodium, saturated fat, fried",,incomplete,4,,,
chocolate chip cookie,,chocolate chip cookie,,f,3,dessert/sweet treat,"baked good, chocolate",,added sugar,,incomplete,4,,,
bagel cream cheese,,bagel with cream cheese,bagel with cream cheese,f,3,"grain, dairy","wheat, cheese",,"saturated fat, high sodium",,complete,4,,,
vanilla greek yogurt,,vanilla greek yogurt,,f,3,dairy,yogurt,,fermented,,incomplete,3,,,
roasted almond unsalted,,roasted almond unsalted,,f,3,nut,almond,,unsaturated fat,,complete,1,,,
ham cheese sandwich,,ham and cheese sandwich,ham and cheese sandwich,f,3,"grain, protein, dairy","wheat, pork, cheese",,"saturated fat, high sodium",,complete,4,,,
mixed nut butter,,mixed nut butter,,f,3,nut,,,unsaturated fat,,incomplete,4,,,
bacon breakfast burrito,,bacon breakfast burrito,,f,3,"grain, protein","wheat, pork, eggs",,"saturated fat, high sodium",,incomplete,4,,,
smoothie strawberry banana,,smoothie strawberry banana,,b,3,juice/smoothie,fruit,,,,incomplete,1,,,
philly cheese steak,,philly cheese steak,,f,3,"grain, protein, dairy","wheat, red meat, cheese",beef,"saturated fat, high sodium",,incomplete,4,,,
olive half cup,,olives,olives,f,3,fruit,stone fruit,,high sodium,,complete,1,,,stop word??
peanut butter sandwich,,peanut butter sandwich,,f,3,"grain, nut","wheat, peanut butter",,unsaturated fat,,complete,4,,,
yogurt granola honey,,yogurt granola honey,,f,3,"grain, dairy","oat, yogurt",,"fermented, added sugar",,incomplete,3,,,
red bell pepper,,red bell pepper,,f,3,vegetable,,,,,complete,1,,,
brown rice quinoa,,brown rice and quinoa,brown rice and quinoa,f,3,"grain, seed",rice,,,,complete,1,,,
beef swiss sandwich,,beef swiss sandwich,,f,3,"grain, protein, dairy","wheat, red meat, cheese",beef,"saturated fat, high sodium",,incomplete,4,,,
butternut squash soup,,butternut squash soup,,f,3,vegetable,,,high sodium,,incomplete,3,,,
chicken pesto pasta,,chicken pesto pasta,,f,3,"grain, protein, vegetable, nut","wheat, poultry, leafy",chicken,unsaturated fat,,incomplete,3,,,
mint moose track,,mint moose track,,f,3,dairy,ice cream,,"added sugar, saturated fat",,incomplete,4,,,
peanut butter cookie,,peanut butter cookie,,f,3,"dessert/sweet treat, nut","baked good, peanut butter",,"added sugar, unsaturated fat",,incomplete,4,,,
veggie breakfast scramble,,vegetable breakfast scramble,vegetable breakfast scramble,f,3,"vegetablee, protein",eggs,,,,incomplete,3,,,
spinach smoothie strawberry,,spinach smoothie strawberry,,b,3,juice/smoothie,"fruit, vegetable",,,,incomplete,1,,,
pulled pork sandwich,,pulled pork sandwich,,f,3,"grain, protein","wheat, pork",,"saturated fat, high sodium",,incomplete,4,,,
salad grilled chicken,,salad grilled chicken,,f,3,"protein, vegetable","poultry, leafy",chicken,,,incomplete,3,,,
surf turf burrito,,surf and turf burrito,surf and turf burrito,f,3,"grain, protein","wheat, red meat, seafood",,"high sodium, saturated fat",,incomplete,3,,,
chicken salad avocado,,chicken salad avocado,,f,3,"protein, vegetable, fruit","poultry, leafy, stone fruit",chicken,,,incomplete,3,,,
chicken brown rice,,chicken and brown rice,,f,3,"grain, protein","rice, poultry",chicken,,,incomplete,3,,,
pita chip hummus,,pita chip and hummus,pita chip and hummus,f,3,"grain, protein","wheat, legume",bean,,,incomplete,4,,,
egg bacon sandwich,,egg bacon sandwich,,f,3,"grain, protein","wheat, eggs, pork",,"high sodium, saturated fat",,incomplete,4,,,
builder protein bar,builder protein bar,protein bar,,f,3,protein,,,,bars,vague,4,,,
spinach salad chicken,,spinach salad chicken,,f,3,"protein, vegetable","poultry, leafy",chicken,,,incomplete,3,,,
roast beef sandwich,,roast beef sandwich,,f,3,"grain, protein","wheat, red meat",beef,"high sodium, saturated fat",,incomplete,4,,,
turkey cheese sandwich,,turkey cheese sandwich,,f,3,"grain, protein, dairy","wheat, poultry, cheese",turkey,"high sodium, saturated fat",,incomplete,4,,,
hard boiled egg,,hard boiled egg,,f,3,protein,eggs,,,,complete,1,,,
chicken salad sandwich,,chicken salad sandwich,,f,3,"grain, protein, dairy","wheat, poultry, mayo",chicken,high sodium,,incomplete,4,,,
unsweetened almond milk,,unsweetened almond milk,,b,3,dairy alternative,nut (almond),,,,complete,4,,,
veggie egg scramble,,vegetable egg scramble,,f,3,"vegetable, protein",eggs,,,,incomplete,3,,,
coffee sugar cream,,coffee with sugar and cream,,b,3,"coffee, dairy, other",cream,sugar,"added sugar, caffeine",,complete,4,,,
plain greek yogurt,,plain greek yogurt,,f,3,dairy,yogurt,,fermented,,incomplete,1,,,
quinoa brown rice,,quinoa brown rice,,f,3,"grain, seed",rice,,,,complete,1,,,
grilled cheese sandwich,,grilled cheese sandwich,,f,3,"grain, dairy","wheat, cheese",,"saturated fat, high sodium",,complete,4,,,
wheat english muffin,,wheat english muffin,,f,3,grain,wheat,,high sodium,,complete,4,,,
pepper jack cheese,,pepper jack cheese,,f,3,dairy,cheese,,saturated fat,,complete,3,,,
stuffed bell pepper,,stuffed bell pepper,,f,3,vegetable,,,,,vague,3,,,
turkey taco salad,,turkey taco salad,,f,3,protein,poultry,turkey,,,vague,3,,,
carne asada taco,,carne asada taco,,f,3,"grain, protein","corn, red meat",beef,"high sodium, saturated fat",,incomplete,3,,,
roasted brussel sprout,,roasted brussel sprout,,f,3,vegetable,,,,,complete,3,,,
black bean burger,,black bean burger,,f,3,protein,legume,bean,,,incomplete,4,,,
chicken tortilla soup,,chicken tortilla soup,,f,3,"grain, protein, vegetable","corn, poultry, legume","chicken, bean",high sodium,,incomplete,3,,,
chicken street taco,,chicken street taco,,f,3,"grain, protein","corn, poultry",chicken,high sodium,,incomplete,3,,,
chicken fried rice,,chicken fried rice,,f,3,"grain, protein","rice, poultry",chicken,high sodium,,incomplete,3,,,
whole wheat toast,,whole wheat toast,,f,3,grain,wheat,,high sodium,,incomplete,4,,,
chicken caesar salad,,chicken caesar salad,,f,3,"grain, protein, dairy, vegetable","wheat, poultry, cheese, leafy",chicken,,dressing,incomplete,3,,,
spring mix green,,spring mix greens,spring mix greens,f,3,vegetable,leafy,,,,incomplete,1,,,
salad mixed green,,salad mixed greens,salad mixed greens,f,3,vegetable,leafy,,,,incomplete,1,,,
turkey rice veggie,,turkey rice vegetables,turkey rice vegetables,f,3,"grain, protein, vegetable","rice, poultry",turkey,,,complete,3,,,
toasted sesame dressing,,toasted sesame dressing,,f,3,other,,,,dressing,incomplete,3,,,
slim fast shake,slim fast shake,slim fast shake,,b,3,protein,protein smoothie,,,,incomplete,4,,,
strawberry greek yogurt,,strawberry greek yogurt,,f,3,"dairy, fruit","yogurt, berry",,fermented,,incomplete,3,,,
carne asada burrito,,carne asada burrito,,f,3,"grain, protein","wheat, red meat",beef,"high sodium, saturated fat",,incomplete,3,,,
egg cheese sandwich,,egg cheese sandwich,,f,3,"grain, protein, dairy","wheat, eggs, cheese",,"saturated fat, high sodium",,incomplete,4,,,
butter breakfast biscuit,,butter breakfast biscuit,,f,3,"grain, dairy","wheat, butter",,"high sodium, saturated fat",,incomplete,4,,,
chicken pasta pesto,,chicken pasta pesto,,f,3,"grain, protein, vegetable, nut","wheat, poultry, leafy",chicken,unsaturated fat,,incomplete,3,,,
olive oil vinegar,,olive oil and vinegar,,f,3,other,"oil, vinegar",,unsaturated fat,,complete,2,,,
ice cream sandwich,,ice cream sandwich,,f,3,"dessert/sweet treat, dairy",ice cream,,"saturated fat, added sugar",,incomplete,4,,,
sun dried tomato,,sun dried tomato,,f,3,fruit,dried fruit,,,,complete,1,,,
toast peanut butter,,toast with peanut butter,,f,3,"grain, nut","wheat, peanut ",,unsaturated fat,,complete,4,,,
bbq chicken pizza,,barbecue chicken pizza,barbecue chicken pizza,f,3,"grain, protein, dairy","wheat, poultry, cheese",chicken,"added sugar, high sodium, saturated fat",,incomplete,3,,,
shrimp fajita burrito,,shrimp fajita burrito,,f,3,"grain, protein, vegetable","wheat, seafood",shellfish,high sodium,,incomplete,3,,,
greek salad chicken,,greek salad chicken,,f,3,"protein, dairy, vegetable","poultry, cheese, leafy",chicken,,dressing,incomplete,3,,,
chewy granola bar,,chewy granola bar,,f,3,grain,oat,,added sugar,,incomplete,4,,,
spaghetti meat sauce,,spaghetti with meat sauce,spaghetti with meat sauce,f,3,"grain, protein",wheat,,,,incomplete,3,,,
kirkland chocolate bar,kirkland chocolate bar,chocolate bar,chocolate bar,f,3,dessert/sweet treat,chocolate,,"added sugar, saturated fat",,complete,4,,,
tuna salad sandwich,,tuna salad sandwich,,f,3,"grain, protein, dairy","wheat, seafood, mayo",fish,high sodium,,incomplete,4,,,
chinese chicken salad,,chinese chicken salad,,f,3,"vegetable, protein","leafy, poultry",chicken,,,incomplete,3,,,
whole grain toast,,whole grain toast,,f,3,grain,wheat,,high sodium,,complete,4,,,
chicken noodle soup,,chicken noodle soup,,f,3,"grain, protein","wheat, poultry",chicken,high sodium,,incomplete,3,,,
chicken veggie rice,,chicken vegetables rice,,f,3,"grain, protein, vegetable","rice, poultry",chicken,,,complete,3,,,
chicken pot pie,,chicken pot pie,,f,3,"grain, protein, vegetable, dairy","wheat, poultry",chicken,,,incomplete,4,,,
fruit veggie smoothie,,fruit veggie smoothie,,b,3,juice/smoothie,fruit & vegetable,,,,incomplete,1,,,
tri tip salad,,tri tip salad,,f,3,"protein, vegetable","red meat, leafy",beef,saturated fat,,incomplete,3,,,
egg salad sandwich,,egg salad sandwich,,f,3,"wheat, protein, dairy","eggs, mayo",,high sodium,,complete,4,,,
mixed green salad,,mixed green salad,,f,3,vegetable,leafy,,,,incomplete,1,,,
egg cheese burrito,,egg cheese burrito,,f,3,"grain, protein, dairy","wheat, eggs, cheese",,"high sodium, saturated fat",,incomplete,3,,,
split pea soup,,split pea soup,,f,3,vegetable,,,high sodium,,incomplete,3,,,
peanut butter bar,,peanut butter bar,,f,3,nut,peanut,,unsaturated fat,bars,incomplete,4,,,
ground turkey rice,,ground turkey and rice,ground turkey and rice,f,3,"grain, protein","rice, poultry",turkey,,,incomplete,3,,,
honey nut cheerio,,honey nut cheerio,,f,3,grain,cereal grain,,added sugar,,incomplete,4,,,
veggie breakfast burrito,,vegetable breakfast burrito,vegetable breakfast burrito,f,3,"grain, vegetable, protein","wheat, eggs",,high sodium,,incomplete,3,,,
steel cut oat,,steel cut oat,,f,3,grain,oat,,,,complete,1,,,
cauliflower crust pizza,,cauliflower crust pizza,,f,3,"vegetable, dairy",cheese,,saturated fat,,incomplete,4,,,
mixed green lettuce,,mixed green lettuce,,f,3,vegetable,leafy,,,,complete,1,,,
chicken stir fry,,chicken stir fry,,f,3,protein,poultry,chicken,,,incomplete,3,,,
g oatmeal almond,,oatmeal almond,oatmeal almond,f,3,"grain, nut","oat, almond",,,,complete,3,,,
turkey avocado sandwich,,turkey avocado sandwich,,f,3,"grain, protein, fruit","wheat, poultry, stone fruit",turkey,"unsaturated fat, high sodium",,incomplete,4,,,
chicken rice salad,,chicken rice salad,,f,3,"grain, protein, vegetable","rice, poultry, leafy",chicken,,,incomplete,3,,,
olives,,olives,,f,1,fruit,stone fruit,,high sodium,,complete,3,,,
turkey breast sandwich,,turkey breast sandwich,,f,3,"grain, protein","wheat, poultry",turkey,high sodium,,incomplete,4,,,
peanut butter toast,,peanut butter toast,,f,3,"grain, nut","wheat, peanut butter",,unsaturated fat,,complete,4,,,
onion bell pepper,,onion and bell pepper,,f,3,vegetable,root,,,,complete,1,,,
tri tip sandwich,,tri tip sandwich,,f,3,"grain, protein","wheat, red meat",beef,"saturated fat, high sodium",,complete,4,,,
chicken taco salad,,chicken taco salad,,f,3,protein,poultry,chicken,,,vague,3,,,
gf organic granola,,granola ,gluten free organic granola ,f,3,grain,oats ,,"organic, gluten free",,complete ,3,,,
bacon cheese bagel,,bagel sandwich ,bagel with bacon and cheese,f,3,"grain, protein, dairy","wheat, pork, cheese",,saturated fat ,,incomplete ,4,,,
chicken burrito avo,,chicken avocado burrito ,burrito with chicken and avocado,f,3,"protein, grain, fruit","poultry, wheat, stone fruit ",chicken,"unsaturated fat, high salt",,incomplete ,3,,,
fruit yogurt granola,,yogurt with fruit and granola ,yogurt with fruit and granola ,f,3,"dairy, fruit, grain","yogurt, oat",,fermented,,incomplete ,3,fruit yogurt granola bowl,,
egg sausage burrito,,egg sausage burrito ,burrito with egg and sausage,f,3,"protein, dairy, grain","pork, eggs, wheat",,"high salt, saturated fat ",,incomplete ,3,,,
dark chocolate almond,,dark chocolate covered almonds ,dark chocolate covered almonds ,f,3,"dessert, nut","chocolate, almond",,"added sugars, unsaturated fat, saturated fat ",,complete ,4,,,
whole grain bread,,whole grain bread,,f,3,grain ,whole grain,,,,complete ,4,,,
cereal almond milk,,cereal with almond milk ,cereal with almond milk ,f,3,"grain, nut ","cereal grain, almond ",,unsaturated ,,complete ,4,,,
greek yogurt granola,,greek yogurt with granola ,greek yogurt with granola ,f,3,"dairy, grain","yogurt, oat",,fermented,,incomplete ,3,yogurt granola bowl,,
vegetable tikka masala,,curry-dish ,tikka masala with vegetables ,f,3,"dairy, vegetable, grain ","yogurt, leafy, root, rice ",,"fermented, saturated fats",,incomplete ,3,,,
coffee vanilla creamer,,coffee with creamer,coffee with vanilla creamer ,b,3,"coffee, dairy ",cream ,,saturated fats,,complete,4,,,
egg bagel sandwich,,bagel sandwich ,bagel with eggs ,f,3,"grain, protein ","wheat, eggs",,,,incomplete ,4,,,
yogurt granola bowl,,yogurt with granola ,yogurt with granola ,f,3,"dairy, grain","yogurt, oat",,fermented,,incomplete ,3,greek yogurt granola,,
ice cream bar,,ice cream,ice cream ,f,3,dairy,ice cream,,"saturated fat, added sugar",bars,complete ,4,,,
grilled chicken sandwich,,grilled chicken sandwich ,grilled chicken sandwich ,f,3,protein grain,"poultry, wheat ",chicken,high-salt ,,vague,4,,,
fruit yogurt smoothie,,yogurt and fruit smoothie,yogurt and fruit smoothie ,b,3,"juice/smoothie, dairy ","fruit, yogurt",,fermented ,,vague ,1,,,
corned beef cabbage,,corned beef with cabbage,corned beef with cabbage,f,3,"protein, vegetable","red meat, leafy ",beef,"high sodium, saturated fat",,complete ,3,,,
roast beef swiss sandwich,,roast beef sandwich ,roast beef sandwich ,f,4,"protein, grain, fruit","red meat, wheat",beef,"high sodium, saturated fat ",,incomplete ,4,,,
fruit yogurt granola bowl,,yogurt with fruit and granola ,yogurt with fruit and granola ,f,4,"dairy, fruit, grain","yogurt, oat",,fermented,,incomplete ,3,fruit yogurt granola,,
halo top ice cream,halo top,low-calorie ice cream,,f,4,dairy,ice cream,,artificial sweetner ,,vague,4,,https://halotop.com/dairy-ice-cream?gclid=cjwkcajwj6sebhaoeiwavfruked_7e7vrd7cb7ou2vsk5ujmyxtl20p1_1lbkw6qvrwmt2q94rqnpbocfn8qavd_bwe,vague because it could be non-dairy as well. 
steel cut quinoa oatmeal,,quinoa oatmeal ,,f,4,grain,"oat, whole grain",,,,incomplete ,1,,,
peanut butter jelly sandi,,peanut butter and jelly sandwich ,peanut butter and jelly sandwich ,f,4,"grain, fruit, nut","wheat, peanut ",,"added sugar, highly processed",spread,complete,4,"peanut butter jelly sandi, peanut butter jelly sandwich, pb j, peanut butter jelly sandwich",,
whole wheat english muffin,,english muffin,,f,4,grain,wheat,,,,complete ,4,,,
salad olive oil vinegar,,salad,salad with olive oil and vinegar,f,4,vegetable ,leafy,,"unsaturated fat, fermented ",dressing,incomplete ,3,,,
slice whole grain bread,,whole grain bread ,slice of whole grain bread ,f,4,grain,wheat,,,,complete ,3,,,
ginger cayenne spinach smoothie,,"smoothie with ginger, cayenne, and spinach","smoothie with ginger, cayenne, and spinach",b,4,"juice/smoothie, dairy ",fruit and vegetable ,,,,incomplete ,1,,,
moose track ice cream,,ice cream with candy in it (moose tracks is a flavor),,f,4,"dessert/sweet, dairy","ice cream, candy, chocolate",,"saturated fat, added sugar",,complete,4,,,
oatmeal apple spice cinnamon,,oatmeal with apples and cinnamon ,oatmeal with apples and cinnamon ,f,4,"grain, fruit",oat,,added sugar ,seasoning ,complete ,3,,,
dark chocolate pb bar,,dark chocolate peanut butter bar ,dark chocolate peanut butter bar ,f,4,"dessert, nut","chocolate, peanut",,"added sugars, unsaturated fat, saturated fat ",bars,incomplete ,4,,,
protein powder almond milk,,protein drink,protein powder with almond milk ,b,4,"protein, dairy alternative ","protein powder, nut(almond) ",,added sugar,,complete ,4,,,
protein shake banana spinach,,protein drink,protein shake with banana and spinach ,b,4,juice/smoothie,"fruit and vegetable,",,added sugar ,,complete,4,,,
almond butter breakfast biscuit,,breakfast biscuit with almond butter,breakfast biscuit with almond butter,f,4,"grain, nut ","wheat, almond",,"added sugar, unsaturated, ",,complete,4,,,
coconut peanut butter bar,,coconut peanut butter bar ,,f,4,"fruit, nut ",peanut ,,"added sugar, unsaturated fat, saturated fat",bars,vague ,4,,,
kale fruit protein smoothie,,protein drink,protein smoothie with kale and fruit ,b,4,juice/smoothie,"fruit and vegetable,",,added sugar ,,complete,4,,,
peanut butter jelly sandwich,,peanut butter and jelly sandwich ,peanut butter and jelly sandwich ,f,4,"grain, fruit, nut","wheat, peanut ",,"added sugar, highly processed",spread,complete,4,"peanut butter jelly sandi, peanut butter jelly sandwich, pb j, peanut butter jelly sandwich, pbj",,
protein shake almond milk,,protein drink ,protein shake with almond milk ,b,4,"protein, dairy alternative ","protein powder, nut(almond) ",,added sugar,,complete ,4,,,
soft chewy granola bar,,granola bar ,soft and chewy granola bar ,f,4,grain,oat,,added sugar,bars,incomplete ,4,,could have chocolate chips,
zero cal monster energy,monster ,energy drink,zero calorie monster energy drink,b,4,energy drink,zero ,,arificial sweetner,,complete,4,,,
kirkland soft chewy granola bar,kirkland ,granola bar ,kirkland soft and chewy granola bar ,f,5,grain,oat,,added sugar,bars,incomplete ,4,,could have chocolate chips,
honey nut cheerio lactaid mlk,honey nut cheerio ,cereal with lactose-free milk ,honey nut cheerios with lactaid milk ,f,5,"grain, dairy ","cereal grain, milk",,"added sugar, saturated fat, sweetner ",,complete ,4,,,
dried cranberry dried blueberry oatmeal,,oatmeal with dried cranberries and blueberries ,oatmeal with dried cranberries and blueberries ,f,5,"grain, fruit ","oat, dried fruit ",,,,incomplete ,1,,,
oatmeal peanut butter chia seed,,oatmeal with peanut butter and chia seeds. ,oatmeal with peanut butter and chia seeds. ,f,5,"grain, seed, nut ","oat, chia, peanut ",,"added sugar, unsaturated fat, highly processed",spread ,,4,,,
grain bread slice bread honey,,grain bread with honey ,sliced grain bread with honey ,f,5,grain,wheat ,,added sugar,,complete ,4,,,
slice whole grain bread slice,,whole grain bread ,sliced whole grain bread,f,5,grain,wheat,,,,complete ,4,,,
protein shake almond milk banana,,protein drink,protein shake with almond milk and banana,b,5,"protein, dairy alternative","protein smoothie, nut(almond) ",,added sugar,,complete ,4,,,
mint moose track ice cream,,ice cream with candy in it (moose tracks is a flavor),,f,5,"dessert/sweet, dairy","ice cream, candy, chocolate",,"saturated fat, added sugar",,complete,4,,https://www.hersheyicecream.com/products/hand-dipped/premium/mint-moose-tracks.html,
whole g oatmeal almond raisin,,oatmeal with almond and raisins ,oatmeal with almond and raisins ,f,5,"grain, nut, fruit","oat, whole grain, almond, dried fruit",,"added sugar, unsaturated fat, ",,complete ,3,,,
porridge,,porridge ,,f,1,grain,oat,,,,vague ,,,,vague bc it could have more in ti 
sauerkraut,,,,f,1,vegetable ,leafy ,,fermented,condiment ,complete ,,,,
rye,,,,f,1,,,,,,vague,,,,
pudding,,pudding ,,f,1,dairy,milk,,"added sugar, saturated fat, highly processed ",,incomplete ,,,,
mandarin,,,,f,1,modifier,,,,,vague ,,,,
caramel,,caramel,,f,1,sweet treat ,candy ,,added sugar,sauce,incomplete ,,,,
hazelnut,,,,f,1,,,,,,vague ,,,,
clementine,,,,f,1,fruit,citrus ,,,,complete,,,,
chard,,,,f,1,vegetable,leafy ,,,,complete,,,,
bran,,,,f,1,,,,,,vague ,,,,
dumpling,,dumpling,,f,1,,,,,,vague ,,,,
carb,,,,f,1,,,,,,vague ,,,,
wholemeal,,,,f,1,modifier ,,,,,vague ,,,,
chipotle,,,,f,1,,,,,,vague,,,,
duck,,duck,,f,1,protein,poultry,duck ,,,complete,,,,
oyster,,oyster ,,f,1,protein,seafood ,shellfish ,,,complete,,,,
pumpkin seed,,pumpkin seed ,,f,2,seed,pumpkin,,,,complete,1,,,
red pepper,,,red pepper seasoning ,f,2,fruit ,dried fruit ,,seasoning ,,complete ,1,,,
water lemon,,water with lemon,water with lemon,b,2,other ,water additive ,,,,,1,,,
mixed salad,,salad ,mixed salad,f,2,vegetable ,leafy,,,,complete ,3,,,
rice bean,,rice and beans ,rice and beans ,f,2,"grain,protein","rice, legume",bean ,,,incomplete ,3,,,
cheese bread,,bread with cheese ,bread with cheese ,f,2,"grain, dairy ","wheat, cheese ",,highly processed ,,complete ,4,bread cheese,,
bread cheese,,bread with cheese ,bread with cheese ,f,2,"grain, dairy ","wheat, cheese ",,highly processed ,,complete ,4,cheese bread,,
rice cake,,rice cake ,,f,2,grain ,"rice, whole grain",,"added sugar, highly processed ",,complete ,3,,,
brazil nut,,nuts ,,f,2,nut ,brazil nut ,,unsaturated fat ,,complete ,1,,,
egg white,,egg whites ,egg whites ,f,2,protein,eggs ,,,,complete ,1,,,
tomato sauce,,tomato sauce ,,f,2,"fruit, other ",,,"added sugar, unsaturated fat ",sauce,complete ,3,,,
