gram_key,brand name,description,corrected spelling,food_type,gram_type,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag1_list,tag2_list,tag3_list,tag4_list,tag5_list
0,,,,stopword,1,,,,,,,,,,,,
1st,,,,stopword,1,,,,,,,,,,,,
2nd,,,,stopword,1,,,,,,,,,,,,
4c energy,,,,b,2,,,,,,,,,,,,
abv,,,,stopword,1,,,,,,,,,,,,
acacia,,,,modifier,1,,,,,,,,,,,,
acai,,acai,,f,1,fruit,berry,,,,complete,,['fruit'],['berry'],,,
acai bowl,,acai bowl,,f,2,fruit,,,,,complete,3,['fruit'],,,,
acorn squash,,starchy vege,,f,2,vegetable,,,,,,,['vegetable'],,,,
actimel,actimel,probiotic yogurt drink,,b,1,dairy,yogurt,,fermented,,incomplete,4,['dairy'],['yogurt'],,['fermented'],
actimel danone,actimel danone,probiotic yogurt drink,,b,2,dairy,yogurt,,fermented,,incomplete,4,['dairy'],['yogurt'],,['fermented'],
activated,,,,modifier,1,,,,,,,,,,,,
active,,,,stopword,1,,,,,,,,,,,,
activia yogurt,,,,f,2,,,,,,,,,,,,
adam,,,,stopword,1,,,,,,,,,,,,
adaptogen,,,,modifier,1,,,,,,,,,,,,
adaptogenic,,,,modifier,1,,,,,,,,,,,,
add,,,,stopword,1,,,,,,,,,,,,
add in,,,,stopword,2,,,,,,,,,,,,
added,,,,modifier,1,,,,,,,,,,,,
addictive,,,,stopword,1,,,,,,,,,,,,
adobo,,"protein dish, can be chicken, beef, or pork",,f,1,protein,,,high sodium,,incomplete,3,['protein'],,,['high sodium'],
advantage,,,,stopword,1,,,,,,,,,,,,
advocare spark,advocare spark,supplement/electrolyte drink powder (15 calories),,b,2,sports drink,,,"electrolytes, supplements, vitatmins, artificial sweetener (15 calories)",,incomplete,4,['sports drink'],,,"['electrolytes', 'supplements', 'vitatmins', 'artificial sweetener (15 calories)']",
adzuki,,east asian beans,,f,1,protein,legume,bean,,,complete,1,['protein'],['legume'],['bean'],,
aeropress,aeropress,coffee maker brand,aeropress coffee,b,1,coffee,,,caffeine,,incomplete,v,['coffee'],,,['caffeine'],
african,,,,modifier,1,,,,,,,,,,,,
afternoon,,,,modifier,1,,,,,,,,,,,,
afternoon tea,,,,f,2,,,,,,,,,,,,
ag1,,,,f,1,,,,,,,,,,,,
agave,,,,f,1,,,,,,vague,,,,,,
aged,,,,modifier,1,,,,,,,,,,,,
agua,,water,water,w,1,,,,,,,,,,,,
aguacate,,"spanish for ""avocado""",,f,1,fruit,berry,,,,complete,1,['fruit'],['berry'],,,
ahi,,ahi tuna,,f,1,protein,seafood,fish,,,complete,3,['protein'],['seafood'],['fish'],,
ahi poke,,ahi poke,,f,2,protein,seafood,fish,,,incomplete,3,['protein'],['seafood'],['fish'],,
ahi tuna,,ahi tuna,,f,2,protein,seafood,fish,,,complete,1,['protein'],['seafood'],['fish'],,
ahoy,,,,modifier,1,,,,,,,,,,,,
aid,,,,stopword,1,,,,,,,,,,,,
aioli,,,,f,1,,,,,,,,,,,,
air fryer,,,,stopword,2,,,,,,,,,,,,
air popped,,,,modifier,2,,,,,,,,,,,,
airborn,,,,stopword,1,,,,,,,,,,,,
airborne,,,,stopword,1,,,,,,,,,,,,
airplane,,,,stopword,1,,,,,,,,,,,,
ajvar,,"condiment made of red bell peppers, eggplant, and oil",,f,1,"vegetable, other",oil,,,condiment,complete,3,"['vegetable', 'other']",['oil'],,,['condiment']
al pastor,,al pastor,,f,2,protein,pork,,high sodium,,incomplete,3,['protein'],['pork'],,['high sodium'],
alaskan,,,,modifier,1,,,,,,,,,,,,
albacore,,albacore,,f,1,protein,seafood,fish,,,complete,3,['protein'],['seafood'],['fish'],,
alcohol,,alcohol,,b,1,alcohol,,,,,complete,,['alcohol'],,,,
alcohol free beer,,,,b,3,other,non-alcoholic fermented grain,,,,,,['other'],['non-alcoholic fermented grain'],,,
alcoholic,,,,modifier,1,,,,,,,,,,,,
aldi,,,,modifier,1,,,,,,,,,,,,
ale,,beer,,b,1,sparkling water,beer,,fermented,,complete,,['sparkling water'],['beer'],,['fermented'],
alfajor,,cookies filled with dulce de leche,,f,1,dessert/sweet treat,baked good,,"added sugar, saturated fat",,complete,4,['dessert/sweet treat'],['baked good'],,"['added sugar', 'saturated fat']",
alfalfa,,,,f,1,,,,,,,,,,,,
alfalfa sprout,,,,f,2,vegetable,,,,,,,['vegetable'],,,,
alfredo,,cream based sauce,,f,1,dairy,,,,sauce,incomplete,,['dairy'],,,,['sauce']
algae oil,,,,f,2,,,,,,,,,,,,
algae omega,,,,modifier,2,,,,,,,,,,,,
align,,,,stopword,1,,,,,,,,,,,,
alkaline,,,,modifier,1,,,,,,,,,,,,
allergy,,,,modifier,1,,,,,,,,,,,,
allspice,,allspice,,f,1,other,spice,,,,complete,2,['other'],['spice'],,,
almond,,almond,,f,1,nut,,,unsaturated fat,,complete,,['nut'],,,['unsaturated fat'],
almond butter,,almond butter,,f,2,nut,almond,,unsaturated fat,,complete,4,['nut'],['almond'],,['unsaturated fat'],
almond creamer,,almond creamer,,b,2,dairy alternative,creamer,,"additive, added sugar",,complete,4,['dairy alternative'],['creamer'],,"['additive', 'added sugar']",
almond flour,,almond flour,almond flour,f,2,nut,almond,,,,incomplete,1,['nut'],['almond'],,,
almond latte,,,,b,2,"coffee, dairy alternative",almond,,caffeine,,,,"['coffee', 'dairy alternative']",['almond'],,['caffeine'],
almond milk,,almond milk,,b,2,dairy alternative,nut,,,,complete,4,['dairy alternative'],['nut'],,,
aloe,,aloe,aloe,f,1,vegetable,leafy,,,,incomplete,,['vegetable'],['leafy'],,,
aloe vera,,,,f,2,,,,,,,,,,,,
aloha bee,,,,stopword,2,,,,,,,,,,,,
aloo,,,,modifier,1,,,,,,,,,,,,
aloo paratha,,indian bread,,f,2,"grain, vegetable","wheat, root",,,,incomplete,3,"['grain', 'vegetable']","['wheat', 'root']",,,
alpen,alpen,muesli,,f,1,grain,oat,,,,incomplete,1,['grain'],['oat'],,,
alternative,,,,stopword,1,,,,,,,,,,,,
altoids,altoids,mints,,f,1,other,mint,,added sugar,,complete,4,['other'],['mint'],,['added sugar'],
amala,,yam and cassava flour,,f,1,vegetable,,,,,incomplete,1,['vegetable'],,,,
amaranth,,pseudo-cereal,,f,1,other,plant,,,,,,['other'],['plant'],,,
amaranto,,"spanish for ""amaranth""",amaranth,f,1,other,plant,,,,complete,1,['other'],['plant'],,,
amaretto,,sweet italian liquor,,b,1,alcohol,liquor,,fermented,,complete,4,['alcohol'],['liquor'],,['fermented'],
amazing,,,,stopword,1,,,,,,,,,,,,
amazing grass,,,,f,2,,,,,,,,,,,,
american,,,,modifier,1,,,,,,,,,,,,
americano,,americano,,b,1,coffee,,,caffeine,,complete,,['coffee'],,,['caffeine'],
amino energy,,,,b,2,,,,,,,,,,,,
amla,,indian gooseberry,,f,1,fruit,berry,,,,incomplete,1,['fruit'],['berry'],,,
amount,,,,stopword,1,,,,,,,,,,,,
amp,,,,stopword,1,,,,,,,,,,,,
ample k calorie,ample k,keto meal replacement shake,,b,3,other,meal replacement,,saturated fat,,incomplete,4,['other'],['meal replacement'],,['saturated fat'],
amstel,amstel,beer,,b,1,alcohol,beer,,fermented,,complete,3,['alcohol'],['beer'],,['fermented'],
anchovy,,fish,,f,1,protein,seafood,fish,,,,,['protein'],['seafood'],['fish'],,
ancient,,,,modifier,1,,,,,,,,,,,,
and,,,,stopword,1,,,,,,,,,,,,
andouille,,smoked pork sausage,,f,1,protein,pork,,"saturated fat, high sodium, highly processed",,complete,4,['protein'],['pork'],,"['saturated fat', 'high sodium', 'highly processed']",
angel,,,,stopword,1,,,,,,,,,,,,
angel hair,,angel hair pasta,,f,2,grain,wheat,,,,complete,1,['grain'],['wheat'],,,
angry orchard,angry orchard,hard (alcoholic) cider,,b,2,alcohol,cider,,,,complete,3,['alcohol'],['cider'],,,
angus,,,,modifier,1,,,,,,,,,,,,
animal cracker,,,,f,2,grain,wheat,,"added sugar, highly processed",,,,['grain'],['wheat'],,"['added sugar', 'highly processed']",
annies,,,,stopword,1,,,,,,,,,,,,
another,,,,stopword,1,,,,,,,,,,,,
antioxidant,,,,modifier,1,,,,,,,,,,,,
antipasti,,appetizer,,f,1,,,,,,vague,v,,,,,
antipasto,,first course of italian meal,,f,1,,,,,,vague,v,,,,,
anxiety,,,,stopword,1,,,,,,,,,,,,
anything,,,,stopword,1,,,,,,,,,,,,
anzac,,,,modifier,1,,,,,,,,,,,,
aperol,,,,b,1,,,,,,,,,,,,
aperol spritz,,wine based cocktail,,b,2,"alcohol, sparkling water","wine, liquor",mixed,fermented,,complete,3,"['alcohol', 'sparkling water']","['wine', 'liquor']",['mixed'],['fermented'],
appetizer,,,,f,1,,,,,,,,,,,,
apple,,fruit,,f,1,fruit,,,,,complete,,['fruit'],,,,
apple cider,,apple cider,,b,2,juice/smoothie,fruit,,,,incomplete,2,['juice/smoothie'],['fruit'],,,
apple cider vinegar,,apple cider vinegar,,b,3,other,,,,,complete,2,['other'],,,,
apple crisp,,,,f,2,"grain, fruit, nut","oat, baked good",added sugar,,,,,"['grain', 'fruit', 'nut']","['oat', 'baked good']",['added sugar'],,
apple fritter,,,,f,2,"dessert/sweet treat, fruit, grain, protein","wheat, egg, baked good",,"added sugar, fried, saturated fat",,,,"['dessert/sweet treat', 'fruit', 'grain', 'protein']","['wheat', 'egg', 'baked good']",,"['added sugar', 'fried', 'saturated fat']",
apple grapefruit vitamin c water,vitamin water,flavored/sweetened water with vitamins,,b,5,sports drink,,,"electrolytes, supplements, vitatmins, artificial sweetener (15 calories)",,incomplete,4,['sports drink'],,,"['electrolytes', 'supplements', 'vitatmins', 'artificial sweetener (15 calories)']",
apple juice,,apple juice,,b,2,juice/smoothie,fruit,,added sugar,,complete,1,['juice/smoothie'],['fruit'],,['added sugar'],
apple pie,,apple pie,,f,2,"dessert/sweet treat, fruit",baked good,,"added sugar, saturated fat",,incomplete,4,"['dessert/sweet treat', 'fruit']",['baked good'],,"['added sugar', 'saturated fat']",
apple strudel,,"sweet, fruit",,f,2,"dessert/sweet treat, fruit, dairy","wheat, butter, baked good",,"added sugar, saturated fat",,,,"['dessert/sweet treat', 'fruit', 'dairy']","['wheat', 'butter', 'baked good']",,"['added sugar', 'saturated fat']",
apple turnover,,,,f,2,,,,,,,,,,,,
applegate,applegate,natural meats,,modifier,1,,,,,,,,,,,,
applesauce,,apple sauce,,f,1,fruit,,,added sugar,,complete,3,['fruit'],,,['added sugar'],
approx,,,,modifier,1,,,,,,,,,,,,
apricot,,apricot,,f,1,fruit,stone fruit,,,,incomplete,,['fruit'],['stone fruit'],,,
aquafina,aquafina,water,,w,1,,,,,,,,,,,,
arby 's,arby's,,,modifier,2,,,,,,,,,,,,
arepa,,cornmeal,,f,1,grain,corn,,,,,,['grain'],['corn'],,,
argan,,,,modifier,1,,,,,,,,,,,,
arizona,arizona,,,modifier,1,,,,,,,,,,,,
arnold palmer,,mixed drink,,b,2,"tea, juice/smoothie",fruit,,"added sugar, caffeine",,,,"['tea', 'juice/smoothie']",['fruit'],,"['added sugar', 'caffeine']",
aronia,,aronia berries,,f,1,fruit,berry,,,,complete,1,['fruit'],['berry'],,,
arrabiata,,italian spicy pasta sauce,,f,1,"fruit, vegetable",tomato,,,sauce,incomplete,3,"['fruit', 'vegetable']",['tomato'],,,['sauce']
arrowroot,,arrowroot,,f,1,other,plant,,,,complete,1,['other'],['plant'],,,
arroz,,"spanish for ""rice""",,f,1,grain,wheat,,,,incomplete,1,['grain'],['wheat'],,,
artichoke,,artichoke,,f,1,vegetable,,,,,complete,,['vegetable'],,,,
artichoke heart,,vege,,f,2,vegetable,leafy,,,,,,['vegetable'],['leafy'],,,
artificial,,,,modifier,1,,,,,,,,,,,,
artisan,,,,modifier,1,,,,,,,,,,,,
arugula,,arugula,,f,1,vegetable,leafy,,,,complete,,['vegetable'],['leafy'],,,
arugula salad,,arugula salad,,f,2,vegetable,leafy,,,,incomplete,3,['vegetable'],['leafy'],,,
asada taco,,carne asada taco,carne asada taco,f,2,"grain, protein","corn, red meat",beef,"saturated fat, high sodium",,complete,3,"['grain', 'protein']","['corn', 'red meat']",['beef'],"['saturated fat', 'high sodium']",
asahi,,,,b,1,,,,,,,,,,,,
asahi vegan beer,,,,b,3,,,,,,,,,,,,
asian,,,,modifier,1,,,,,,,,,,,,
asian salad,,asian salad,,f,2,vegetable,leafy,,,,vague,3,['vegetable'],['leafy'],,,
asparagus,,vegetable,,f,1,vegetable,other vegetable,,,,complete,,['vegetable'],['other vegetable'],,,
assam,,assam tea,,b,1,tea,black,,caffeine,,incomplete,1,['tea'],['black'],,['caffeine'],
assorted,,,,modifier,1,,,,,,,,,,,,
ate,,,,stopword,1,,,,,,,,,,,,
atheltic green,,,,modifier,2,,,,,,,,,,,,
athletic,,,,modifier,1,,,,,,,,,,,,
athletic green,,,,b,2,juice/smoothie,vegetable,,,,,,['juice/smoothie'],['vegetable'],,,
atkins,,,,modifier,1,,,,,,,,,,,,
atkins bar,,,,f,2,"protein, dairy",bar,,,bars,,,"['protein', 'dairy']",['bar'],,,['bars']
atkins shake,,,,b,2,,,,,,,,,,,,
atun,,"spanish for ""tuna""",,f,1,protein,seafood,fish,,,complete,3,['protein'],['seafood'],['fish'],,
au gratin,,dish baked with topping of seasoned breadcrumbs and cheese,,f,2,"grain, dairy","wheat, cheese",,baked,,incomplete,3,"['grain', 'dairy']","['wheat', 'cheese']",,['baked'],
au jus,,beef broth sauce,,f,2,other,broth,,high sodium,,complete,3,['other'],['broth'],,['high sodium'],
au lait,,coffee with steamed milk,,b,2,"coffee, dairy",milk,,"caffeine, saturated fat",,complete,1,"['coffee', 'dairy']",['milk'],,"['caffeine', 'saturated fat']",
aubergine,,eggplant,eggplant,f,1,vegetable,,,,,complete,,['vegetable'],,,,
aussie bite,aussie bite,granola bar,,f,2,"grain, fruit, seed","oat, dried fruit",,added sugar,,complete,4,"['grain', 'fruit', 'seed']","['oat', 'dried fruit']",,['added sugar'],
avarakkai,,tamil for flat bean,,f,1,vegetable,,,,,complete,3,['vegetable'],,,,
avocado,,avocado,,f,1,fruit,,,unsaturated fat,,complete,,['fruit'],,,['unsaturated fat'],
avocado oil,,avocado oil,,f,2,other,,,unsaturated fat,,complete,2,['other'],,,['unsaturated fat'],
avocado salad,,avocado salad,,f,2,"vegetable, fruit","leafy, stone fruit",,,,incomplete,3,"['vegetable', 'fruit']","['leafy', 'stone fruit']",,,
avocado sandwich,,avocado sandwich,,f,2,"grain, fruit","wheat, stone fruit",,unsaturated fat,,complete,4,"['grain', 'fruit']","['wheat', 'stone fruit']",,['unsaturated fat'],
avocado toast,,avocado toast,,f,2,"grain, fruit","wheat, stone fruit",,"unsaturated fat, high sodium",,complete,3,"['grain', 'fruit']","['wheat', 'stone fruit']",,"['unsaturated fat', 'high sodium']",
awesome,,,,stopword,1,,,,,,,,,,,,
ayran,,yogurt-based beverage,,b,1,dairy,yogurt,,,,complete,3,['dairy'],['yogurt'],,,
b,,,,stopword,1,,,,,,,,,,,,
baba ganoush,,"mashed cooked eggplant, olive oil, lemon juice, various seasonings, and sometimes tahini",,f,2,"vegetable, other",oil,,unsaturated fat,,complete,3,"['vegetable', 'other']",['oil'],,['unsaturated fat'],
baby,,,,modifier,1,,,,,,,,,,,,
baby carrot,,baby carrot,,f,2,vegetable,root,,,,complete,1,['vegetable'],['root'],,,
baby spinach,,baby spinach,baby spinach,f,2,vegetable,leafy,,,,complete,1,['vegetable'],['leafy'],,,
babybel,,,,f,1,,,,,,,,,,,,
babybel cheese,,"dairy, cheese",,f,2,dairy,cheese,,,,,,['dairy'],['cheese'],,,
back,,,,stopword,1,,,,,,,,,,,,
backed,,,,stopword,1,,,,,,,,,,,,
bacon,,bacon,,f,1,protein,,,saturated fat,,incomplete,,['protein'],,,['saturated fat'],
bacon bit,,,,f,2,protein,pork,,"highly processed, saturated fat, high sodium",,,,['protein'],['pork'],,"['highly processed', 'saturated fat', 'high sodium']",
bacon breakfast burrito,,bacon breakfast burrito,,f,3,"grain, protein","wheat, pork, egg",,"saturated fat, high sodium",,incomplete,4,"['grain', 'protein']","['wheat', 'pork', 'egg']",,"['saturated fat', 'high sodium']",
bacon egg cheese,,bacon egg cheese,bacon and egg with cheese,f,3,"protein, dairy","pork, poultry, cheese",,,,complete,4,"['protein', 'dairy']","['pork', 'poultry', 'cheese']",,,
bacon fat,,,,f,2,,,,,,,,,,,,
bad,,,,stopword,1,,,,,,,,,,,,
bag,,,,modifier,1,,,,,,,,,,,,
bagel,,bagel,,f,1,grain,wheat,,,,incomplete,,['grain'],['wheat'],,,
bagel sandwich,,,,f,2,grain,wheat,,high sodium,,,,['grain'],['wheat'],,['high sodium'],
baguette,,baguette,baguette,f,1,grain,wheat,,high sodium,,complete,,['grain'],['wheat'],,['high sodium'],
bahn mi,,vietnamese sandwich,,f,2,"grain, protein, vegetable",wheat,,,,incomplete,3,"['grain', 'protein', 'vegetable']",['wheat'],,,
bai,bai,sparkling water,,w,1,sparkling water,flavored carbonated water,,,,incomplete,,['sparkling water'],['flavored carbonated water'],,,
bai bubbles,,,,w,2,,,,,,,,,,,,
bailey,baileys,liquor with cream,,b,1,"alcohol, dairy alternative, juice/smoothie","liquor, cream",,saturated fat,,complete,4,"['alcohol', 'dairy alternative', 'juice/smoothie']","['liquor', 'cream']",,['saturated fat'],
bailey irish,baileys,whisky with milk and chocolate,,b,2,"alcohol, dairy",liquor,straight,"added sugar, saturated fat",,complete,4,"['alcohol', 'dairy']",['liquor'],['straight'],"['added sugar', 'saturated fat']",
bake,,,,modifier,1,,,,,,,,,,,,
baked,,,,modifier,1,,,,,,,,,,,,
baked bean,,baked bean,,f,2,protein,legume,bean,"high sodium, added sugar",,complete,3,['protein'],['legume'],['bean'],"['high sodium', 'added sugar']",
baked chicken,,baked chicken,,f,2,protein,poultry,chicken,,,complete,3,['protein'],['poultry'],['chicken'],,
baked potato,,baked potato,,f,2,vegetable,root,,,,incomplete,3,['vegetable'],['root'],,,
baked vegetable,,baked vegetables,baked vegetables,f,2,vegetable,,,,,incomplete,3,['vegetable'],,,,
baked ziti,,,,f,2,,,,,,,,,,,,
baker,,,,stopword,1,,,,,,,,,,,,
bakery,,,,stopword,1,,,,,,,,,,,,
bakes,,,,stopword,1,,,,,,,,,,,,
bakewell,,,,modifier,1,,,,,,,,,,,,
baklava,,"desert,nuts",,f,1,"grain, nut, dessert/sweet treat","wheat, baked good",,added sugar,,,,"['grain', 'nut', 'dessert/sweet treat']","['wheat', 'baked good']",,['added sugar'],
balance,,,,stopword,1,,,,,,,,,,,,
balanced,,,,modifier,1,,,,,,,,,,,,
balm,,,,modifier,1,,,,,,,,,,,,
balsamic,,dressing,,f,1,other,,,,dressing,complete,,['other'],,,,['dressing']
balsamic dressing,,,,f,2,other,,,,dressing,complete,,['other'],,,,['dressing']
balsamic vinaigrette,,balsamic vinaigrette,,f,2,other,,,,dressing,incomplete,2,['other'],,,,['dressing']
balsamic vinegar,,balsamic vinegar,,f,2,other,vinegar,,,,complete,2,['other'],['vinegar'],,,
bamboo,,plant,,f,1,other,plant,,,,complete,1,['other'],['plant'],,,
bamboo shoot,,bamboo shoots,bamboo shoots,f,2,vegetable,,,,,complete,1,['vegetable'],,,,
banana,,banana,,f,1,fruit,,,,,complete,,['fruit'],,,,
banana bread,,banana bread,,f,2,dessert/sweet treat,baked good,,added sugar,,incomplete,4,['dessert/sweet treat'],['baked good'],,['added sugar'],
banana chip,,,,f,2,fruit,banana,,"fried, saturated fat",,,,['fruit'],['banana'],,"['fried', 'saturated fat']",
banana smoothie,,banana smoothie,,b,2,juice/smoothie,fruit,,,,incomplete,1,['juice/smoothie'],['fruit'],,,
bang,bang,energy drink,,b,1,energy drink,,,"caffeine, added sugar",,complete,,['energy drink'],,,"['caffeine', 'added sugar']",
bang energy,bang,energy drink,,b,2,energy drink,,,"caffeine, artifical sweetener",,complete,4,['energy drink'],,,"['caffeine', 'artifical sweetener']",
bang energy drink,bang,energy drink,,b,3,energy drink,,,"caffeine, artifical sweetener",,complete,4,['energy drink'],,,"['caffeine', 'artifical sweetener']",
banh mi,,vietnamese sandwich,,f,2,"grain, protein, vegetable",wheat,,,,incomplete,3,"['grain', 'protein', 'vegetable']",['wheat'],,,
banoffee,,,,modifier,1,,,,,,,,,,,,
banquet,,,,stopword,1,,,,,,,,,,,,
bao,,yeast-leavened filled bun,,f,1,"grain, protein",wheat,,,,incomplete,3,"['grain', 'protein']",['wheat'],,,
baobab,,,,modifier,1,,,,,,,,,,,,
bar,,,,modifier,1,,,,,,,,,,,,
barbacoa,,slow cooked meat,,f,1,protein,red meat,,saturated fat,,incomplete,3,['protein'],['red meat'],,['saturated fat'],
barbecue chicken,,barbecue chicken,,f,2,protein,poultry,chicken,"added sugar, high sodium",,incomplete,3,['protein'],['poultry'],['chicken'],"['added sugar', 'high sodium']",
barbecue chicken pizza,,barbecue chicken pizza,barbecue chicken pizza,f,3,"grain, protein, dairy","wheat, poultry, cheese",chicken,"added sugar, high sodium, saturated fat",,incomplete,3,"['grain', 'protein', 'dairy']","['wheat', 'poultry', 'cheese']",['chicken'],"['added sugar', 'high sodium', 'saturated fat']",
barbecue chicken salad,,barbecue chicken salad,barbecue chicken salad,f,3,"protein, vegetable","poultry, leafy",chicken,"added sugar, high sodium",,incomplete,3,"['protein', 'vegetable']","['poultry', 'leafy']",['chicken'],"['added sugar', 'high sodium']",
barbecue chip,,,,f,2,vegetable,root,,"high sodium, highly processed",,,,['vegetable'],['root'],,"['high sodium', 'highly processed']",
barbecue pork,,,,f,2,"protein, other","pork, sauce",,,,,,"['protein', 'other']","['pork', 'sauce']",,,
barbecue sauce,,barbeque sauce,,f,2,other,,,"added sugar, high sodium",sauce,complete,4,['other'],,,"['added sugar', 'high sodium']",['sauce']
barely,,,,stopword,1,,,,,,,,,,,,
barfi,,indian milk-based sweet snack,,f,1,dairy,"milk, butter",,"added sugar, saturated fat",,complete,4,['dairy'],"['milk', 'butter']",,"['added sugar', 'saturated fat']",
barista,,,,stopword,1,,,,,,,,,,,,
bark thins,barkthins,chocolate,,f,2,dessert/sweet treat,chocolate,,added sugar,,complete,4,['dessert/sweet treat'],['chocolate'],,['added sugar'],
barley,,grain,,f,1,grain,barley,,,,complete,,['grain'],['barley'],,,
barley grass,,,,f,2,,,,,,,,,,,,
barramundi,,asian sea bass,,f,1,protein,seafood,fish,,,complete,3,['protein'],['seafood'],['fish'],,
barukas,,brazilian nuts,,f,1,nut,,,unsaturated fat,,complete,1,['nut'],,,['unsaturated fat'],
basa,,basa,,f,1,protein,seafood,fish,,,complete,3,['protein'],['seafood'],['fish'],,
basa loin,,fish,,f,2,protein,seafood,fish,,,complete,3,['protein'],['seafood'],['fish'],,
base,,,,stopword,1,,,,,,,,,,,,
basil,,basil,,f,1,other,herb,,,,complete,,['other'],['herb'],,,
basis,,,,stopword,1,,,,,,,,,,,,
basmati,,basmati rice,basmati rice,f,1,grain,rice,,,,complete,1,['grain'],['rice'],,,
basmati rice,,basmati rice,basmati rice,f,2,grain,rice,,,,incomplete,1,['grain'],['rice'],,,
bat,,,,stopword,1,,,,,,,,,,,,
batata,,sweet potato,sweet potato,f,1,vegetable,root,,,,complete,1,['vegetable'],['root'],,,
batter,,,,stopword,1,,,,,,,,,,,,
battered,,,,modifier,1,,,,,,,,,,,,
bavarian,,,,modifier,1,,,,,,,,,,,,
bay,,,,stopword,1,,,,,,,,,,,,
beacon,,,,stopword,1,,,,,,,,,,,,
bead,,,,stopword,1,,,,,,,,,,,,
bean,,bean,,f,1,protein,legume,bean,,,complete,,['protein'],['legume'],['bean'],,
bean burrito,,bean burrito,,f,2,"grain, protein","wheat, legume",bean,high sodium,,incomplete,3,"['grain', 'protein']","['wheat', 'legume']",['bean'],['high sodium'],
bean cheese burrito,,bean cheese burrito,,f,3,"grain, protein, dairy","wheat, legume, cheese",bean,"high sodium, saturated fat",,incomplete,3,"['grain', 'protein', 'dairy']","['wheat', 'legume', 'cheese']",['bean'],"['high sodium', 'saturated fat']",
bean salad,,bean salad,bean salad,f,2,protein,legume,bean,,,vague,3,['protein'],['legume'],['bean'],,
bean soup,,bean soup,,f,2,protein,legume,bean,high sodium,,incomplete,3,['protein'],['legume'],['bean'],['high sodium'],
bean sprout,,,,f,2,vegetable,,,,,,,['vegetable'],,,,
beanitos,beanitos,bean chips,,f,1,"grain, protein","rice, legume",bean,highly processed,,incomplete,4,"['grain', 'protein']","['rice', 'legume']",['bean'],['highly processed'],
bear claw,,sweet pastry,,f,2,"grain, dessert/sweet treat","wheat, baked good",,"saturated fat, added sugar",,complete,4,"['grain', 'dessert/sweet treat']","['wheat', 'baked good']",,"['saturated fat', 'added sugar']",
bear naked,bear naked,,,modifier,2,,,,,,,,,,,,
bearnaise,,sauce with egg yolks and butter,,f,1,"dairy, protein","butter, egg",,saturated fat,,complete,3,"['dairy', 'protein']","['butter', 'egg']",,['saturated fat'],
beat,,,,modifier,1,,,,,,,,,,,,
beat,,,,stopword,1,,,,,,,,,,,,
bechamel,,type of sauce,,f,1,"grain, dairy","wheat, butter",,"saturated fat, ",sauce,incomplete,3,"['grain', 'dairy']","['wheat', 'butter']",,"['saturated fat', '']",['sauce']
bedtime,,,,modifier,1,,,,,,,,,,,,
bee,,,,stopword,1,,,,,,,,,,,,
bee hoon,,singaporean noodles,,f,2,grain,rice,,,,complete,3,['grain'],['rice'],,,
beef,,beef,,f,1,protein,red meat,beef,saturated fat,,complete,,['protein'],['red meat'],['beef'],['saturated fat'],
beef bone broth,,broth,,f,3,"protein, other",red meat,beef,"saturated fat, high sodium",,vague,3,"['protein', 'other']",['red meat'],['beef'],"['saturated fat', 'high sodium']",
beef brisket,,,,f,2,protein,red meat,beef,high sodium,,,,['protein'],['red meat'],['beef'],['high sodium'],
beef broth,,beef,,f,2,other,broth,,,,,,['other'],['broth'],,,
beef burger,,beef burger,,f,2,"protein, grain","red meat, wheat",beef,"high sodium, saturated fat",,vague,3,"['protein', 'grain']","['red meat', 'wheat']",['beef'],"['high sodium', 'saturated fat']",
beef jerky,,beef jerky,,f,2,protein,red meat,beef,high sodium,,complete,4,['protein'],['red meat'],['beef'],['high sodium'],
beef liver,,,,f,2,protein,,,,,,,['protein'],,,,
beef patty,,beef,,f,2,protein,red meat,beef,saturated fat,,,,['protein'],['red meat'],['beef'],['saturated fat'],
beef sandwich,,beef sandwich,,f,2,"grain, protein","wheat, red meat",beef,,,incomplete,4,"['grain', 'protein']","['wheat', 'red meat']",['beef'],,
beef sausage,,,,f,2,"protein, other","red meat, soup",beef,"high sodium, highly processed",,,,"['protein', 'other']","['red meat', 'soup']",['beef'],"['high sodium', 'highly processed']",
beef soup,,,,f,2,"protein, other","red meat, soup",beef,high sodium,,,,"['protein', 'other']","['red meat', 'soup']",['beef'],['high sodium'],
beef steak,,,,f,2,protein,red meat,beef,,,,,['protein'],['red meat'],['beef'],,
beef stew,,beef stew,,f,2,protein,red meat,beef,"saturated fat, high sodium ",,vague,3,['protein'],['red meat'],['beef'],"['saturated fat', 'high sodium ']",
beef stroganoff,,beef,,f,2,"protein, grain, dairy","red meat, wheat,  sour cream",beef,saturated fat,,,,"['protein', 'grain', 'dairy']","['red meat', 'wheat', ' sour cream']",['beef'],['saturated fat'],
beef swiss sandwich,,beef swiss sandwich,,f,3,"grain, protein, dairy","wheat, red meat, cheese",beef,"saturated fat, high sodium",,incomplete,4,"['grain', 'protein', 'dairy']","['wheat', 'red meat', 'cheese']",['beef'],"['saturated fat', 'high sodium']",
