gram_key,brand name,description,corrected spelling,food_type,gram_type,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag1_list,tag2_list,tag3_list,tag4_list,tag5_list
lantus,insulin,,,m,1,prescription,diabetes,,,,,,['prescription'],['diabetes'],,,
lasix,furosemide,,,m,1,prescription,"heart failure, edema",,furosemide,diuretics,,,['prescription'],"['heart failure', 'edema']",,['furosemide'],['diuretics']
laxative,,,,m,1,category,constipation,,,,,,['category'],['constipation'],,,
lecithin,,,,m,1,supplement,"alzheimer disease, dementia",,,,,,['supplement'],"['alzheimer disease', 'dementia']",,,
legalon,,,,m,1,supplement,liver health,,,,,,['supplement'],['liver health'],,,
lemsip,,,,m,1,otc,"cold, flu",,,,,,['otc'],"['cold', 'flu']",,,
leptin manager,,,,m,2,supplement,digestive health,,,,,,['supplement'],['digestive health'],,,
lercanidipine,lercanidipine,,,m,1,prescription,hypertension,,,calcium channel blocker,,,['prescription'],['hypertension'],,,['calcium channel blocker']
letrozole,letrozole,,,m,1,prescription,breast cancer,,,,,,['prescription'],['breast cancer'],,,
levaxin,levothyroxine,,,m,1,prescription,hypothyroidism,,levothyroxine,,,,['prescription'],['hypothyroidism'],,['levothyroxine'],
levemir u,insulin,,,m,2,prescription,diabetes,,,,,,['prescription'],['diabetes'],,,
levetiracetam,levetiracetam,,,m,1,prescription,"seizure, epilepsy",,keppra,,,,['prescription'],"['seizure', 'epilepsy']",,['keppra'],
levlen,birth control,,,m,1,prescription,contraceptive,,,,,,['prescription'],['contraceptive'],,,
levocarnitine,carnitine,,,m,1,prescription,"carnitine, kidney disease",,,,,,['prescription'],"['carnitine', 'kidney disease']",,,
levothroid,levothyroxine,,,m,1,prescription,hypothyroidism,,,,,,['prescription'],['hypothyroidism'],,,
levothyroxine,levothyroxine,,,m,1,prescription,hypothyroidism,,,,,,['prescription'],['hypothyroidism'],,,
levoxyl,levothyroxine,,,m,1,prescription,hypothyroidism,,levothyroxine,,,,['prescription'],['hypothyroidism'],,['levothyroxine'],
lexapro,escitalopram,,,m,1,prescription,"depression, anxiety",antidepressant,,,,,['prescription'],"['depression', 'anxiety']",['antidepressant'],,
lialda,mesalamine,,,m,1,prescription,ulcerative colitis,,,,,,['prescription'],['ulcerative colitis'],,,
life extension,,,,m,2,brand,general health,,,,,,['brand'],['general health'],,,
linagliptin,linagliptin,,,m,1,prescription,diabetes,,,,,,['prescription'],['diabetes'],,,
linzess,linaclotide,,,m,1,"prescription, otc","irritable bowel syndrome, chronic idopathic constipation, constipation",,,,,,"['prescription', 'otc']","['irritable bowel syndrome', 'chronic idopathic constipation', 'constipation']",,,
liothyronine,liothyronine,,,m,1,prescription,hypothyroidism,,,,,,['prescription'],['hypothyroidism'],,,
lipitor,atorvastatin,,,m,1,prescription,hypercholesterolaemia,statin,,statin,,,['prescription'],['hypercholesterolaemia'],['statin'],,['statin']
lipo flavonoid,,,,m,2,supplement,ear health,,,,,,['supplement'],['ear health'],,,
lipoic,,,,m,1,supplement,antioxidant,,,,,,['supplement'],['antioxidant'],,,
lipoic acid,,,,m,2,supplement,antioxidant,,,,,,['supplement'],['antioxidant'],,,
liposomal vitamin c,,,,m,3,supplement,vitamin c,,,,,,['supplement'],['vitamin c'],,,
lisinopril,lisinopril,,,m,1,prescription,hypertension,,heart failure,ACE-inhibitor,,,['prescription'],['hypertension'],,['heart failure'],['ACE-inhibitor']
lithium,,,,m,1,supplement,"alzheimer disease, parkinsons disease, cognitive function",,,,,,['supplement'],"['alzheimer disease', 'parkinsons disease', 'cognitive function']",,,
livalo,pitavastatin,,,m,1,prescription,"hypercholesterolaemia, hypercholesterolaemia",statin,,statin,,,['prescription'],"['hypercholesterolaemia', 'hypercholesterolaemia']",['statin'],,['statin']
livton,,,,m,1,supplement,digestive health,,,,,,['supplement'],['digestive health'],,,
llysine,,,,m,1,supplement,herpes,,lysine,,,,['supplement'],['herpes'],,['lysine'],
loloestrin fe,birth control,,,m,2,prescription,contraceptive,,,,,,['prescription'],['contraceptive'],,,
lomedia fe,birth control,,,m,2,prescription,contraceptive,,,,,,['prescription'],['contraceptive'],,,
longjack,,,,m,1,supplement,"fever, erectile dysfunction, bacterial infection",tongkat ali,,,,,['supplement'],"['fever', 'erectile dysfunction', 'bacterial infection']",['tongkat ali'],,
loratadine,,,,m,1,otc,"itching, allergy, hay fever",,,,,,['otc'],"['itching', 'allergy', 'hay fever']",,,
lorazepam,ativan,,,m,1,prescription,"anxiety, nausea",,,,,,['prescription'],"['anxiety', 'nausea']",,,
losartan,losartan,,,m,1,prescription,"hypertension, kidney failure",,,ARB,,,['prescription'],"['hypertension', 'kidney failure']",,,['ARB']
lotrel,"amlodipine, benazepril",,,m,1,prescription,hypertension,,,"ACE-inhibitor, calcium channel blocker",,,['prescription'],['hypertension'],,,"['ACE-inhibitor', 'calcium channel blocker']"
lovastatin,lovastatin,,,m,1,prescription,"hypercholesterolaemia, heart disease, hypercholesterolaemia",,,statin,,,['prescription'],"['hypercholesterolaemia', 'heart disease', 'hypercholesterolaemia']",,,['statin']
lozap,losartan,,,m,1,prescription,"hypertension, kidney failure",,losartan,ARB,,,['prescription'],"['hypertension', 'kidney failure']",,['losartan'],['ARB']
lozap h,"losartan, hydrochlorothiazide",,,m,2,prescription,"hypertension, kidney failure",,losartan,"ARB, diuretics (thiazide)",,,['prescription'],"['hypertension', 'kidney failure']",,['losartan'],"['ARB', 'diuretics (thiazide)']"
lutein,,,,m,1,supplement,eye health,,,,,,['supplement'],['eye health'],,,
lyrica,pregabalin,,,m,1,prescription,"fibromyalgia, spinal cord injury, nerve damage, shingles, diabetes",,,,,,['prescription'],"['fibromyalgia', 'spinal cord injury', 'nerve damage', 'shingles', 'diabetes']",,,
lysine,,,,m,1,supplement,herpes,,,,,,['supplement'],['herpes'],,,
macrobid,nitrofuratoin,,,m,1,prescription,urinary tract infection,,,,,,['prescription'],['urinary tract infection'],,,
macuhealth,,,,m,1,supplement,eye health,,,,,,['supplement'],['eye health'],,,
macushield,,,,m,1,"brand, supplement",eye health,,,,,,"['brand', 'supplement']",['eye health'],,,
macushield eye capsule,,,,m,3,supplement,eye health,,,,,,['supplement'],['eye health'],,,
macushield vitamin,,,,m,2,supplement,eye health,,,,,,['supplement'],['eye health'],,,
magmind,,,,m,1,supplement,brain health,,,,,,['supplement'],['brain health'],,,
magnesia,,,,m,1,supplement,magnesium,,,,,,['supplement'],['magnesium'],,,
magnesio,,,,m,1,supplement,general health,,,,,,['supplement'],['general health'],,,
magnesium,,,,m,1,supplement,magnesium,,,,,,['supplement'],['magnesium'],,,
magnesium chloride,,,,m,2,supplement,"magnesium, diabetes, hypertension, osteoporosis, migraine",,,,,,['supplement'],"['magnesium', 'diabetes', 'hypertension', 'osteoporosis', 'migraine']",,,
magnesium citrate,,,,m,2,supplement,constipation,laxative,,,,,['supplement'],['constipation'],['laxative'],,
magnesium glycinate,,,,m,2,supplement,"anxiety, bone health, diabetes",,,,,,['supplement'],"['anxiety', 'bone health', 'diabetes']",,,
magnesium malate,,,,m,2,supplement,"magnesium, headache, migraine",,,,,,['supplement'],"['magnesium', 'headache', 'migraine']",,,
magnesium vitamin,,,,m,2,supplement,magnesium,,,,,,['supplement'],['magnesium'],,,
manganese,,,,m,1,supplement,manganese deficiency,,,,,,['supplement'],['manganese deficiency'],,,
marjoram,,,,m,1,supplement,"runny nose, cough, cold",,,,,,['supplement'],"['runny nose', 'cough', 'cold']",,,
maxide,triamterene,,,m,1,prescription,"hypertension, edema",diuretic,,diuretics,,,['prescription'],"['hypertension', 'edema']",['diuretic'],,['diuretics']
mct oil,,,,m,2,supplement,weight loss,,,,,,['supplement'],['weight loss'],,,
mcts,,medium chain triglycerides,medium chain triglycerides,m,1,supplement,weight loss,,,,,,['supplement'],['weight loss'],,,
mebeverine,,,,m,1,otc,"muscle spasm, stomach cramp",,,,,,['otc'],"['muscle spasm', 'stomach cramp']",,,
meclizine,meclizine,,,m,1,"prescription, otc","motion sickness, vertigo",,,,,,"['prescription', 'otc']","['motion sickness', 'vertigo']",,,
medd,morphine,,,m,1,prescription,pain relief,morphine equivalent daily dose,,,,,['prescription'],['pain relief'],['morphine equivalent daily dose'],,
medication,,,,m,1,category,general health,,,,,,['category'],['general health'],,,
medicine,,,,m,1,category,general health,,,,,,['category'],['general health'],,,
megahydrate,,,,m,1,supplement,"general health, antioxidant",,,,,,['supplement'],"['general health', 'antioxidant']",,,
meganeuron,,,,m,1,supplement,general health,,,,,,['supplement'],['general health'],,,
melatonin,,,,m,1,supplement,"sleep, insomnia",,,,,,['supplement'],"['sleep', 'insomnia']",,,
melatonin forte,,,,m,2,supplement,"sleep, insomnia",,,,,,['supplement'],"['sleep', 'insomnia']",,,
meldonium,mildronate,,,m,1,prescription,"angina, heart attack, heart failure",,,,,,['prescription'],"['angina', 'heart attack', 'heart failure']",,,
meloxicam,meloxicam,,,m,1,prescription,inflammation,,,,,,['prescription'],['inflammation'],,,
mercaptopurine,mercaptopurine,,,m,1,prescription,leukemia,chemotherapy,,,,,['prescription'],['leukemia'],['chemotherapy'],,
meriva,,,,m,1,supplement,antioxidant,,curcumin,,,,['supplement'],['antioxidant'],,['curcumin'],
meriva sf,thorne,,,m,2,supplement,antioxidant,,curcumin,,,,['supplement'],['antioxidant'],,['curcumin'],
mesalamine,mesalamine,,,m,1,prescription,ulcerative colitis,,,,,,['prescription'],['ulcerative colitis'],,,
mesalazine,mesalamine,,,m,1,prescription,"ulcerative colitis, crohns disease",,,,,,['prescription'],"['ulcerative colitis', 'crohns disease']",,,
metabolic thyro,,,,m,2,supplement,thyroid health,,,,,,['supplement'],['thyroid health'],,,
metamucil,,,,m,1,supplement,digestive health,,,,,,['supplement'],['digestive health'],,,
metformin,metformin,,,m,1,prescription,"diabetes, polycystic ovary syndrome",,biguanide,,,,['prescription'],"['diabetes', 'polycystic ovary syndrome']",,['biguanide'],
methadone,methadone,,,m,1,prescription,"pain relief, opioid use disorder",,,,,,['prescription'],"['pain relief', 'opioid use disorder']",,,
methimazole,methimazole,,,m,1,prescription,hyperthyroidism,,,,,,['prescription'],['hyperthyroidism'],,,
methocarbamol,methocarbamol,,,m,1,prescription,"muscle spasm, muscle pain",,,,,,['prescription'],"['muscle spasm', 'muscle pain']",,,
methyl b,,,,m,2,supplement,metabolic health,,,,,,['supplement'],['metabolic health'],,,
methylfolate,,,,m,1,supplement,brain health,,,,,,['supplement'],['brain health'],,,
methylphenidate,methylphenidate,,,m,1,prescription,"adhd, narcolepsy",,,,,,['prescription'],"['adhd', 'narcolepsy']",,,
