gram_key,food_type,gram_type,tag1,tag2,tag3,tag4,tag5,tag1_list,tag2_list,tag3_list,tag4_list,tag5_list,tag6,tag7
oxcarbazepine,m,1,prescription,partial seizure,,,,['prescription'],['partial seizure'],,,,,
oxybutynin,m,1,prescription,"overactive bladder, spina bifida",,,,['prescription'],"['overactive bladder', 'spina bifida']",,,,,
oxycodone,m,1,prescription,pain relief,,,,['prescription'],['pain relief'],,,,,
oxycontin,m,1,prescription,pain relief,,,,['prescription'],['pain relief'],,,,,
pain medication,m,2,category,pain relief,,,,['category'],['pain relief'],,,,,
painkiller,m,1,category,pain relief,,,,['category'],['pain relief'],,,,,
panadol,m,1,otc,"pain relief, fever",,"tylenol, acetaminophen",,['otc'],"['pain relief', 'fever']",,"['tylenol', 'acetaminophen']",,,
pancreatin,m,1,"otc, supplement",indigestion,,,,"['otc', 'supplement']",['indigestion'],,,,,
pantoprazole,m,1,"prescription, otc","gerd, ulcer, heartburn, acid reflux",,,proton pump inhibitor,"['prescription', 'otc']","['gerd', 'ulcer', 'heartburn', 'acid reflux']",,,['proton pump inhibitor'],,
pantothenic acid,m,2,supplement,pantothenic acid deficiency,,,,['supplement'],['pantothenic acid deficiency'],,,,,
paracetamol,m,1,otc,"pain relief, fever",,acetaminophen,,['otc'],"['pain relief', 'fever']",,['acetaminophen'],,,
paralen,m,1,otc,fever,,,,['otc'],['fever'],,,,,
paroxetine,m,1,prescription,depression,,,,['prescription'],['depression'],,,,,
paxil,m,1,prescription,"depression, panic disorder, social anxiety disorder",,,,['prescription'],"['depression', 'panic disorder', 'social anxiety disorder']",,,,,
pectasol c,m,2,supplement,general health,,,,['supplement'],['general health'],,,,,
penecillin,m,1,prescription,bacterial infection,,,,['prescription'],['bacterial infection'],,,,,
pepcid,m,1,"prescription, otc","gerd, heartburn",,,histamine 2 receptor antagonist,"['prescription', 'otc']","['gerd', 'heartburn']",,,['histamine 2 receptor antagonist'],,
peptide,m,1,supplement,general health,,,,['supplement'],['general health'],,,,,
pepzin gi,m,2,supplement,digestive health,,,,['supplement'],['digestive health'],,,,,
percocet,m,1,prescription,pain relief,,,,['prescription'],['pain relief'],,,,,
perindopril,m,1,prescription,hypertension,,,ACE-inhibitor,['prescription'],['hypertension'],,,['ACE-inhibitor'],,
perindopril amlodipine,m,2,prescription,hypertension,,,ACE-inhibitor,['prescription'],['hypertension'],,,['ACE-inhibitor'],,
phen,m,1,prescription,weight loss,,phendimetrazine,,['prescription'],['weight loss'],,['phendimetrazine'],,,
phentermine,m,1,prescription,weight loss,,,,['prescription'],['weight loss'],,,,,
phosphatidylserine,m,1,supplement,brain health,,,,['supplement'],['brain health'],,,,,
phyto adr,m,2,supplement,adrenal gland health,,,,['supplement'],['adrenal gland health'],,,,,
pioglitazone,m,1,prescription,diabetes,,,,['prescription'],['diabetes'],,,,,
piperine,m,1,supplement,general health,,,,['supplement'],['general health'],,['highly processed'],,,
pitavastatin,m,1,prescription,hypercholesterolaemia,,,statin,['prescription'],['hypercholesterolaemia'],,,,,
plant sterol,m,2,supplement,hypercholesterolaemia,,,,['supplement'],['hypercholesterolaemia'],,,,,
plaquenil,m,1,prescription,"arthritis, lupus",,,,['prescription'],"['arthritis', 'lupus']",,,,,
plavix,m,1,prescription,blood clot,clopidogrel,,,['prescription'],['blood clot'],,,,,
plexus slim,m,2,supplement,weight loss,,,,['supplement'],['weight loss'],,,,,
policosanol,m,1,supplement,"leg pain, hypercholesterolaemia, heart disease",,,,['supplement'],"['leg pain', 'hypercholesterolaemia', 'heart disease']",,,,,
polyphenol,m,1,supplement,antioxidant,,,,['supplement'],['antioxidant'],,,,,
polyphenols,m,1,supplement,antioxidant,,,,['supplement'],['antioxidant'],,,,,
polyphenomenal,m,1,supplement,"antioxidant, general health",,,,['supplement'],"['antioxidant', 'general health']",,,,,
polyreserveratrol sr,m,2,supplement,general health,,,,['supplement'],['general health'],,,,,
