gram_key,food_type,gram_type,tag1,tag2,tag3,tag4,tag5,tag1_list,tag2_list,tag3_list,tag4_list,tag5_list,tag6,tag7
4c energy,b,2,,,,,,,,,,,,
actimel,b,1,dairy,yogurt,,fermented,,['dairy'],['yogurt'],,['fermented'],,,
actimel danone,b,2,dairy,yogurt,,fermented,,['dairy'],['yogurt'],,['fermented'],,,
aeropress,b,1,coffee,,,caffeine,,['coffee'],,,['caffeine'],,,
alcohol,b,1,alcohol,,,,,['alcohol'],,,,,,
alcohol free beer,b,3,other,non-alcoholic fermented grain,,,,['other'],['non-alcoholic fermented grain'],,,,,
ale,b,1,sparkling water,beer,,fermented,,['sparkling water'],['beer'],,['fermented'],,,
almond creamer,b,2,dairy alternative,creamer,,"additive, added sugar",,['dairy alternative'],['creamer'],,"['additive', 'added sugar']",,,
almond latte,b,2,"coffee, dairy alternative",almond,,caffeine,,"['coffee', 'dairy alternative']",['almond'],,['caffeine'],,,
almond milk,b,2,dairy alternative,nut,,,,['dairy alternative'],['nut'],,,,,
amaretto,b,1,alcohol,liquor,,fermented,,['alcohol'],['liquor'],,['fermented'],,,
americano,b,1,coffee,,,caffeine,,['coffee'],,,['caffeine'],,,
amino energy,b,2,,,,,,,,,,,,
ample k,b,2,other,meal replacement,,saturated fat,,['other'],['meal replacement'],,['saturated fat'],,,
amstel,b,1,alcohol,beer,,fermented,,['alcohol'],['beer'],,['fermented'],,,
angry orchard,b,2,alcohol,cider,,,,['alcohol'],['cider'],,,,,
aperol,b,1,,,,,,,,,,,,
aperol spritz,b,2,"alcohol, sparkling water","wine, liquor",mixed,fermented,,"['alcohol', 'sparkling water']","['wine', 'liquor']",['mixed'],['fermented'],,,
apple cider,b,2,juice/smoothie,fruit,,,,['juice/smoothie'],['fruit'],,,,,
apple cider vinegar,b,3,other,,,,,['other'],,,,,,
apple grapefruit vitamin c water,b,5,sports drink,,,"electrolytes, supplements, vitatmins, artificial sweetener (15 calories)",,['sports drink'],,,"['electrolytes', 'supplements', 'vitatmins', 'artificial sweetener (15 calories)']",,,
apple juice,b,2,juice/smoothie,fruit,,added sugar,,['juice/smoothie'],['fruit'],,['added sugar'],,,
arnold palmer,b,2,"tea, juice/smoothie",fruit,,"added sugar, caffeine",,"['tea', 'juice/smoothie']",['fruit'],,"['added sugar', 'caffeine']",,,
asahi,b,1,,,,,,,,,,,,
asahi vegan beer,b,3,,,,,,,,,,,,
assam,b,1,tea,black,,caffeine,,['tea'],['black'],,['caffeine'],,,
assam tea,b,2,,,,,,,,,,,,
athletic green,b,2,juice/smoothie,vegetable,,,,['juice/smoothie'],['vegetable'],,,,,
atkins shake,b,2,,,,,,,,,,,,
au lait,b,2,"coffee, dairy",milk,,"caffeine, saturated fat",,"['coffee', 'dairy']",['milk'],,"['caffeine', 'saturated fat']",,,
ayran,b,1,dairy,yogurt,,,,['dairy'],['yogurt'],,,,,
bailey,b,1,"alcohol, dairy alternative, juice/smoothie","liquor, cream",,saturated fat,,"['alcohol', 'dairy alternative', 'juice/smoothie']","['liquor', 'cream']",,['saturated fat'],,,
bailey irish,b,2,"alcohol, dairy",liquor,straight,"added sugar, saturated fat",,"['alcohol', 'dairy']",['liquor'],['straight'],"['added sugar', 'saturated fat']",,,
banana smoothie,b,2,juice/smoothie,fruit,,,,['juice/smoothie'],['fruit'],,,,,
bang,b,1,energy drink,,,"caffeine, added sugar",,['energy drink'],,,"['caffeine', 'added sugar']",,,
bang energy,b,2,energy drink,,,"caffeine, artifical sweetener",,['energy drink'],,,"['caffeine', 'artifical sweetener']",,,
bang energy drink,b,3,energy drink,,,"caffeine, artifical sweetener",,['energy drink'],,,"['caffeine', 'artifical sweetener']",,,
beer,b,1,alcohol,beer,,fermented,,['alcohol'],['beer'],,['fermented'],,,
beer ipa,b,2,alcohol,beer,,fermented,,['alcohol'],['beer'],,['fermented'],,,
beet juice,b,2,juice/smoothie,vegetable,,,,['juice/smoothie'],['vegetable'],,,,,
bergamot,b,1,juice/smoothie,fruit,,,,['juice/smoothie'],['fruit'],,,,,
berry forager yogurt,b,3,dairy alternative,cashew,,,,['dairy alternative'],['cashew'],,,,,
berry smoothie,b,2,juice/smoothie,fruit,,,,['juice/smoothie'],['fruit'],,,,,
beverage,b,1,,,,,,,,,,,,
bipro,b,1,protein,protein powder,,amino acids,supplement,['protein'],['protein powder'],,['amino acids'],['supplement'],,
bitters,b,1,,,,,,,,,,,,
black coffee,b,2,coffee,,,caffeine,,['coffee'],,,['caffeine'],,,
black decaffeinated coffee,b,3,coffee,,,decaffeinated,,['coffee'],,,['decaffeinated'],,,
black tea,b,2,tea,black tea,,caffeine,,['tea'],['black tea'],,['caffeine'],,,
bloody mary,b,2,"alcohol, juice/smoothie","liquor, vegetable",mixed,,,"['alcohol', 'juice/smoothie']","['liquor', 'vegetable']",['mixed'],,,,
blueberry yogurt,b,2,dairy,yogurt,,fermented,,['dairy'],['yogurt'],,['fermented'],,,
boba,b,1,"tea, other",,,"caffeine, added sugar",dessert,"['tea', 'other']",,,"['caffeine', 'added sugar']",['dessert'],,
bodykey,b,1,other,meal replacement,,,,['other'],['meal replacement'],,,,,
bouillon,b,1,other,broth,,high sodium,,['other'],['broth'],,['high sodium'],,,
bourbon,b,1,alcohol,liquor,straight,fermented,,['alcohol'],['liquor'],['straight'],['fermented'],,,
brain octane oil,b,3,other,,,additive,supplement,['other'],,,['additive'],['supplement'],,
brandy,b,1,alcohol,liquor,straight,,,['alcohol'],['liquor'],['straight'],,,,
breakfast shake,b,2,juice/smoothie,,,,,['juice/smoothie'],,,,,,
breakfast smoothie,b,2,juice/smoothie,,,,,['juice/smoothie'],,,,,,
breakfast tea,b,2,tea,,,,,['tea'],,,,,,
brottrunk,b,1,other,non-alcoholic fermented grain,,fermented,,['other'],['non-alcoholic fermented grain'],,['fermented'],,,
brut rose,b,2,alcohol,wine,,fermented,,['alcohol'],['wine'],,['fermented'],,,
bud light,b,2,,,,,,,,,,,,
bud light beer,b,3,,,,,,,,,,,,
budweiser,b,1,alcohol,beer,,fermented,,['alcohol'],['beer'],,['fermented'],,,
buffalo milk,b,2,dairy,milk,,,,['dairy'],['milk'],,,,,
bullet coffee,b,2,"coffee, dairy",butter,,"additive, caffeine, saturated fat",,"['coffee', 'dairy']",['butter'],,"['additive', 'caffeine', 'saturated fat']",,,
bulletproof,b,1,"coffee, dairy",butter,,"additive, caffinated, saturated fat",,"['coffee', 'dairy']",['butter'],,"['additive', 'caffinated', 'saturated fat']",,,
bulletproof coffee,b,2,"coffee, dairy",butter,,"additive, caffeine, saturated fat",,"['coffee', 'dairy']",['butter'],,"['additive', 'caffeine', 'saturated fat']",,,
bulletproof decaffeinated coffee,b,3,"coffee, dairy",butter,,"additive, caffeine, saturated fat",,"['coffee', 'dairy']",['butter'],,"['additive', 'caffeine', 'saturated fat']",,,
butterfat,b,1,dairy,,,saturated fat,,['dairy'],,,['saturated fat'],,,
buttermilk,b,1,dairy,milk,,"fermented, saturated fat",,['dairy'],['milk'],,"['fermented', 'saturated fat']",,,
c4 energy,b,2,,,,,,,,,,,,
cabernet,b,1,alcohol,wine,,,,['alcohol'],['wine'],,,,,
cabernet sauvignon,b,2,alcohol,wine,,fermented,,['alcohol'],['wine'],,['fermented'],,,
cacao tea,b,2,tea,,,caffeine-free,,['tea'],,,['caffeine-free'],,,
cafe,b,1,coffee,,,caffeine,,['coffee'],,,['caffeine'],,,
cafe au lait,b,3,"coffee, dairy",milk,,caffeine,,"['coffee', 'dairy']",['milk'],,['caffeine'],,,
cafe con leche,b,3,"coffee, dairy",milk,,saturated fat,,"['coffee', 'dairy']",['milk'],,['saturated fat'],,,
cafe latte,b,2,"coffee, dairy",dairy,,,,"['coffee', 'dairy']",['dairy'],,,,,
cafe noir,b,2,coffee,,,caffine,,['coffee'],,,['caffine'],,,
caffee,b,1,coffee,,,caffine,,['coffee'],,,['caffine'],,,
caffeine,b,1,,,,caffeine,,,,,['caffeine'],,,
canada dry,b,2,,,,,,,,,,,,
canderel,b,1,,,,,,,,,,,,
cappuccino,b,1,"coffee, dairy",milk,,caffeine,,"['coffee', 'dairy']",['milk'],,['caffeine'],,,
capri sun,b,2,juice/smoothie,fruit,,"added sugar, highly processed, additive",,['juice/smoothie'],['fruit'],,"['added sugar', 'highly processed', 'additive']",,,
caramel latte,b,2,"dairy, other","milk, sugar",,added sugar,,"['dairy', 'other']","['milk', 'sugar']",,['added sugar'],,,
cardamom,b,1,other,spice,,,,['other'],['spice'],,,,,
carrot juice,b,2,juice/smoothie,vegetable,,,,['juice/smoothie'],['vegetable'],,,,,
cashew milk,b,2,dairy alternative,nut,,,,['dairy alternative'],['nut'],,,,,
celery juice,b,2,juice/smoothie,vegetable,,,,['juice/smoothie'],['vegetable'],,,,,
ceylon,b,1,tea,,,caffeinated,,['tea'],,,['caffeinated'],,,
chai,b,1,"tea, dairy",milk,,caffeine,,"['tea', 'dairy']",['milk'],,['caffeine'],,,
chai latte,b,2,"tea, dairy","black, milk",,"caffeine, saturated fat",,"['tea', 'dairy']","['black', 'milk']",,"['caffeine', 'saturated fat']",,,
chai tea,b,2,tea,black,,caffeine,,['tea'],['black'],,['caffeine'],,,
chai tea latte,b,3,"tea, dairy",milk,,,,"['tea', 'dairy']",['milk'],,,,,
chamomile,b,1,tea,herbal,,,,['tea'],['herbal'],,,,,
chamomile flower tea,b,3,,,,,,,,,,,,
chamomile tea,b,2,,,,,,,,,,,,
champagne,b,1,alcohol,wine,,,,['alcohol'],['wine'],,,,,
chardonnay,b,1,alcohol,wine,,fermented,,['alcohol'],['wine'],,['fermented'],,,
cherry coke,b,2,soda,,,"caffeine, added sugar",,['soda'],,,"['caffeine', 'added sugar']",,,
cherry juice,b,2,juice/smoothie,fruit,,,,['juice/smoothie'],['fruit'],,,,,
chianti,b,1,alcohol,wine,,,,['alcohol'],['wine'],,,,,
chicken broth,b,2,other,broth,,high sodium,,['other'],['broth'],,['high sodium'],,,
chocolate almond milk,b,3,"dairy alternative, other","almond, syrup",chocolate,added sugar,,"['dairy alternative', 'other']","['almond', 'syrup']",['chocolate'],['added sugar'],,,
chocolate cacao husk tea,b,4,,,,,,,,,,,,
chocolate milk,b,2,dairy,milk,,added sugar,,['dairy'],['milk'],,['added sugar'],,,
chocolate protein shake,b,3,protein,protein powder,,,,['protein'],['protein powder'],,,,,
chocolate tea,b,2,,,,,,,,,,,,
chrysanthemum,b,1,tea,,,,,['tea'],,,,,,
cider,b,1,alcohol,cider,,,,['alcohol'],['cider'],,,,,
cinnamon tea,b,2,,,,,,,,,,,,
coca cola,b,2,soda,caffeine,,"caffeine, added sugar",,['soda'],['caffeine'],,"['caffeine', 'added sugar']",,,
coca cola zero,b,3,soda,diet soda,,"caffeine, artifical sweetener",,['soda'],['diet soda'],,"['caffeine', 'artifical sweetener']",,,
cocktail,b,1,alcohol,liquor,mixed,,,['alcohol'],['liquor'],['mixed'],,,,
cocoa,b,1,other,cocoa,,,,['other'],['cocoa'],,,,,
coconut milk,b,2,"dairy alternative, juice/smoothie","coconut milk, fruit",,,,"['dairy alternative', 'juice/smoothie']","['coconut milk', 'fruit']",,,,,
coconut water,b,2,juice/smoothie,fruit,,,,['juice/smoothie'],['fruit'],,,,,
coconut yogurt,b,2,dairy,yogurt,,fermented,,['dairy'],['yogurt'],,['fermented'],,,
coffee,b,1,coffee,,,caffeine,,['coffee'],,,['caffeine'],,,
coffee mate,b,2,,,,,,,,,,,,
cognac,b,1,alcohol,liquor,straight,fermented,,['alcohol'],['liquor'],['straight'],['fermented'],,,
coke,b,1,soda,,,"caffeine, added sugar",,['soda'],,,"['caffeine', 'added sugar']",,,
coke zero,b,2,soda,diet soda,,"caffeine, artifical sweetener",,['soda'],['diet soda'],,"['caffeine', 'artifical sweetener']",,,
cola,b,1,soda,,,"added sugar, caffeine",,['soda'],,,"['added sugar', 'caffeine']",,,
cold brew,b,2,coffee,,,caffeine,,['coffee'],,,['caffeine'],,,
cold brew coffee,b,3,coffee,,,caffeine,,['coffee'],,,['caffeine'],,,
coors,b,1,alcohol,beer,,fermented,,['alcohol'],['beer'],,['fermented'],,,
coors light,b,2,alcohol,beer,light beer,fermented,,['alcohol'],['beer'],['light beer'],['fermented'],,,
cordial,b,1,,,,,,,,,,,,
corona,b,1,alcohol,beer,,fermented,,['alcohol'],['beer'],,['fermented'],,,
cortado,b,1,"coffee, dairy",milk,,"caffeine, saturated fat",,"['coffee', 'dairy']",['milk'],,"['caffeine', 'saturated fat']",,,
cosmopolitan,b,1,"alcohol, juice/smoothie","liquor, fruit",mixed,added sugar,,"['alcohol', 'juice/smoothie']","['liquor', 'fruit']",['mixed'],['added sugar'],,,
cow cream,b,2,,,,,,,,,,,,
cow milk,b,2,,,,,,,,,,,,
cranberry juice,b,2,juice/smoothie,fruit,,added sugar,,['juice/smoothie'],['fruit'],,['added sugar'],,,
cream,b,1,dairy,cream,,,,['dairy'],['cream'],,,,,
creamer,b,1,dairy alternative,creamer,,"added sugar, additive, highly processed",,['dairy alternative'],['creamer'],,"['added sugar', 'additive', 'highly processed']",,,
creme,b,1,dairy,cream,,saturated fat,,['dairy'],['cream'],,['saturated fat'],,,
crush,b,1,soda,,,"added sugar, caffeine-free",,['soda'],,,"['added sugar', 'caffeine-free']",,,
crystal light,b,2,sports drink,,,artificial sweetener,,['sports drink'],,,['artificial sweetener'],,,
daiquiri,b,1,,,,,,,,,,,,
dairy,b,1,dairy,,,,,['dairy'],,,,,,
dandelion root tea,b,3,,,,,,,,,,,,
dandelion tea,b,2,tea,herbal,,,,['tea'],['herbal'],,,,,
dandy blend,b,2,tea,herbal,,"caffeine-free, gluten-free",,['tea'],['herbal'],,"['caffeine-free', 'gluten-free']",,,
darjeeling,b,1,tea,black,,,,['tea'],['black'],,,,,
detox tea,b,2,tea,herbal,,,,['tea'],['herbal'],,,,,
diet coke,b,2,soda,diet soda,,"caffeine, artificial sweetener",,['soda'],['diet soda'],,"['caffeine', 'artificial sweetener']",,,
diet cola,b,2,soda,diet soda,,"caffeine, artifical sweetener",,['soda'],['diet soda'],,"['caffeine', 'artifical sweetener']",,,
diet dr pepper,b,3,soda,diet,,"caffeine, artificial sweetener",,['soda'],['diet'],,"['caffeine', 'artificial sweetener']",,,
diet ginger ale,b,3,soda,diet soda,,"caffeine, artifical sweetener",,['soda'],['diet soda'],,"['caffeine', 'artifical sweetener']",,,
diet green tea,b,3,tea,green,,artificial sweetener,,['tea'],['green'],,['artificial sweetener'],,,
diet mountain dew,b,3,soda,diet soda,,"caffeine, artifical sweetener",,['soda'],['diet soda'],,"['caffeine', 'artifical sweetener']",,,
diet pepsi,b,2,soda,diet soda,,"caffeine, artificial sweetener",,['soda'],['diet soda'],,"['caffeine', 'artificial sweetener']",,,
diet root beer,b,3,soda,diet soda,,"caffeine, artifical sweetener",,['soda'],['diet soda'],,"['caffeine', 'artifical sweetener']",,,
diet soda,b,2,soda,diet,,"caffeine, artificial sweetener",,['soda'],['diet'],,"['caffeine', 'artificial sweetener']",,,
double espresso,b,2,coffee,,,caffeine,,['coffee'],,,['caffeine'],,,
dr pepper,b,2,soda,,,"caffeine, added sugar",,['soda'],,,"['caffeine', 'added sugar']",,,
drink,b,1,,,,,,,,,,,,
dymatize iso,b,2,protein,protein powder,,,supplement,['protein'],['protein powder'],,,['supplement'],,
earl grey,b,2,tea,earl grey,,caffeine,,['tea'],['earl grey'],,['caffeine'],,,
eggnog,b,1,dairy,"milk, creamer, egg",,"added sugar, saturated fat",,['dairy'],"['milk', 'creamer', 'egg']",,"['added sugar', 'saturated fat']",,,
elderflower cordial,b,2,juice/smoothie,fruit,,added sugar,,['juice/smoothie'],['fruit'],,['added sugar'],,,
energy drink,b,2,energy drink,,,"caffeine, added sugar",,['energy drink'],,,"['caffeine', 'added sugar']",,,
english breakfast tea,b,3,tea,black,,caffeine,,['tea'],['black'],,['caffeine'],,,
ensure,b,1,,,,,,,,,,,,
ensure max protein,b,3,,,,,,,,,,,,
erythritol,b,1,other,artificial sweetener,,,,['other'],['artificial sweetener'],,,,,
espresso,b,1,coffee,,,caffeine,,['coffee'],,,['caffeine'],,,
espresso coffee,b,2,coffee,,,,,['coffee'],,,,,,
espresso macchiato,b,2,coffee,,,caffeine,,['coffee'],,,['caffeine'],,,
fairlife,b,1,dairy,milk,,,,['dairy'],['milk'],,,,,
fanta,b,1,soda,,,added sugar,,['soda'],,,['added sugar'],,,
fennel tea,b,2,tea,herbal,,,,['tea'],['herbal'],,,,,
fireball,b,1,alcohol,liquor,straight,,,['alcohol'],['liquor'],['straight'],,,,
fizz,b,1,,,,,,,,,,,,
flat white,b,2,"dairy, coffee",milk,,"caffeine, saturated fat",,"['dairy', 'coffee']",['milk'],,"['caffeine', 'saturated fat']",,,
flat white coffee,b,3,"coffee, dairy",milk,,saturated fat,,"['coffee', 'dairy']",['milk'],,['saturated fat'],,,
flax milk,b,2,dairy alternative,flax seed,,,,['dairy alternative'],['flax seed'],,,,,
frappuccino,b,1,"coffee, dairy",cream,,"caffine, added sugar, saturated fat",,"['coffee', 'dairy']",['cream'],,"['caffine', 'added sugar', 'saturated fat']",,,
fresca,b,1,,,,,,,,,,,,
friway glow,b,2,other,plant based supplement,,,,['other'],['plant based supplement'],,,,,
fruit cordial,b,2,,,,,,,,,,,,
fruit juice,b,2,juice/smoothie,fruit,,,,['juice/smoothie'],['fruit'],,,,,
fruit smoothie,b,2,juice/smoothie,fruit,,,,['juice/smoothie'],['fruit'],,,,,
fruit spinach shake,b,3,juice/smoothie,fruit & vegetable,,,,['juice/smoothie'],['fruit & vegetable'],,,,,
fruit tea,b,2,tea,herbal,,,,['tea'],['herbal'],,,,,
fruit vegetable smoothie,b,3,juice/smoothie,fruit & vegetable,,,,['juice/smoothie'],['fruit & vegetable'],,,,,
fruit yogurt smoothie,b,3,"juice/smoothie, dairy","fruit, yogurt",,fermented,,"['juice/smoothie', 'dairy']","['fruit', 'yogurt']",,['fermented'],,,
gatorade,b,1,sports drink,,,added sugar,,['sports drink'],,,['added sugar'],,,
giloy juice,b,2,,,,,,,,,,,,
gin,b,1,alcohol,liquor,straight,,,['alcohol'],['liquor'],['straight'],,,,
gin tonic,b,2,"alcohol, sparkling water","liquor, flavored carbonated water",mixed,fermented,,"['alcohol', 'sparkling water']","['liquor', 'flavored carbonated water']",['mixed'],['fermented'],,,
ginger ale,b,2,soda,,,added sugar,,['soda'],,,['added sugar'],,,
ginger beer,b,2,soda,,,"fermented, added sugar",,['soda'],,,"['fermented', 'added sugar']",,,
ginger cayenne spinach smoothie,b,4,"juice/smoothie, dairy",fruit and vegetable,,,,"['juice/smoothie', 'dairy']",['fruit and vegetable'],,,,,
ginger juice,b,2,,,,,,,,,,,,
ginger kombucha,b,2,,,,,,,,,,,,
ginger lemon water,b,3,,,,,,,,,,,,
ginger shot,b,2,juice/smoothie,"fruit, vegetable",,,,['juice/smoothie'],"['fruit', 'vegetable']",,,,,
ginger tea,b,2,tea,herbal,,,,['tea'],['herbal'],,,,,
ginger water,b,2,,,,,,,,,,,,
gingerade,b,1,tea,kombucha,,fermented,,['tea'],['kombucha'],,['fermented'],,,
glaceau,b,1,water for sport drink,,,,,['water for sport drink'],,,,,,
goat milk,b,2,dairy,milk,,saturated fat,,['dairy'],['milk'],,['saturated fat'],,,
gold peak,b,2,tea,,,,,['tea'],,,,,,
golden milk,b,2,"dairy alternative, other","spice, syrup",maple,added sugar,,"['dairy alternative', 'other']","['spice', 'syrup']",['maple'],['added sugar'],,,
grape juice,b,2,juice/smoothie,fruit,,,,['juice/smoothie'],['fruit'],,,,,
grapefruit juice,b,2,juice/smoothie,fruit,,,,['juice/smoothie'],['fruit'],,,,,
green drink,b,2,juice/smoothie,vegetable,,,,['juice/smoothie'],['vegetable'],,,,,
green juice,b,2,juice/smoothie,fruit & vegetable,,,,['juice/smoothie'],['fruit & vegetable'],,,,,
green powder,b,2,juice/smoothie,vegetable,,,,['juice/smoothie'],['vegetable'],,,,,
green shake,b,2,juice/smoothie,vegetable,,,,['juice/smoothie'],['vegetable'],,,,,
green smoothie,b,2,juice/smoothie,,,,,['juice/smoothie'],,,,,,
green tea,b,2,tea,green tea,,caffeine,,['tea'],['green tea'],,['caffeine'],,,
grigio,b,1,alcohol,wine,,fermented,,['alcohol'],['wine'],,['fermented'],,,
guayusa tea,b,2,,,,,,,,,,,,
guinness,b,1,alcohol,beer,,,,['alcohol'],['beer'],,,,,
half half,b,2,,,,,,,,,,,,
hard cider,b,2,alcohol,cider,,,,['alcohol'],['cider'],,,,,
hard seltzer,b,2,alcohol,hard seltzer,,fermented,,['alcohol'],['hard seltzer'],,['fermented'],,,
hazelnut creamer,b,2,dairy alternative,"hazelnut, creamer",,added sugar,,['dairy alternative'],"['hazelnut', 'creamer']",,['added sugar'],,,
heavy cream,b,2,dairy,cream,,saturated fat,,['dairy'],['cream'],,['saturated fat'],,,
heavy whipped cream,b,3,dairy,cream,,saturated fat,,['dairy'],['cream'],,['saturated fat'],,,
heineken,b,1,alcohol,beer,,fermented,,['alcohol'],['beer'],,['fermented'],,,
hemp milk,b,2,dairy alternative,hemp seed,,,,['dairy alternative'],['hemp seed'],,,,,
herb tea,b,2,tea,herbal,,,,['tea'],['herbal'],,,,,
herbal infusion,b,2,,,,,,,,,,,,
herbal tea,b,2,tea,herbal,,,,['tea'],['herbal'],,,,,
hershey chocolate syrup,b,3,,,,,,,,,,,,
hershey lite,b,2,other,syrup,chocolate,added sugar,dessert,['other'],['syrup'],['chocolate'],['added sugar'],['dessert'],,
hibiscus,b,1,tea,herbal,,,,['tea'],['herbal'],,,,,
hibiscus rose hip infusion,b,4,tea,herbal,,,,['tea'],['herbal'],,,,,
hibiscus tea,b,2,tea,herbal,,,,['tea'],['herbal'],,,,,
honey,b,1,other,,,additive,,['other'],,,['additive'],,,
horchata,b,1,"dairy, grain","milk, rice",,"added sugar, saturated fat",dessert,"['dairy', 'grain']","['milk', 'rice']",,"['added sugar', 'saturated fat']",['dessert'],,
hot chocolate,b,2,other,hot chocolate,,,,['other'],['hot chocolate'],,,,,
hot tea,b,2,tea,,,caffeine,,['tea'],,,['caffeine'],,,
huel,b,1,,,,,,,,,,,,
iced tea,b,2,tea,black tea,,caffeine,,['tea'],['black tea'],,['caffeine'],,,
instamix,b,1,"dairy, other","creamer, butter, mct oil",,"supplement, saturated fat, vitamins",,"['dairy', 'other']","['creamer', 'butter', 'mct oil']",,"['supplement', 'saturated fat', 'vitamins']",,,
instant coffee,b,2,coffee,,,caffeine,,['coffee'],,,['caffeine'],,,
ipa,b,1,alcohol,beer,,fermented,,['alcohol'],['beer'],,['fermented'],,,
ipa beer,b,2,alcohol,beer,,,,['alcohol'],['beer'],,,,,
irish tea,b,2,tea,black tea,,caffeine,,['tea'],['black tea'],,['caffeine'],,,
isalean,b,1,other,shake,,,supplement,['other'],['shake'],,,['supplement'],,
isopure,b,1,protein,protein powder,,,supplement,['protein'],['protein powder'],,,['supplement'],,
izze,b,1,"juice/smoothie, sparkling water","fruit, plain mineral water",,,,"['juice/smoothie', 'sparkling water']","['fruit', 'plain mineral water']",,,,,
jack daniel,b,2,alcohol,liquor,straight,,,['alcohol'],['liquor'],['straight'],,,,
jaggery,b,1,other,sugar,,added sugar,,['other'],['sugar'],,['added sugar'],,,
jasmine flower,b,2,,,,,,,,,,,,
jugo verde,b,2,juice/smoothie,,,,,['juice/smoothie'],,,,,,
juice,b,1,,,,,,,,,,,,
kahlua,b,1,alcohol,liquor,straight,,,['alcohol'],['liquor'],['straight'],,,,
kava,b,1,,,,,,,,,,,,
kava tea,b,2,,,,,,,,,,,,
kefir,b,1,dairy,kefir,,fermented,,['dairy'],['kefir'],,['fermented'],,,
kefir smoothie,b,2,"juice/smoothie, dairy",kefir,,fermented,,"['juice/smoothie', 'dairy']",['kefir'],,['fermented'],,,
keto coffee,b,2,"coffee, dairy","coffee, butter",,"additive, caffeine, saturated fat",,"['coffee', 'dairy']","['coffee', 'butter']",,"['additive', 'caffeine', 'saturated fat']",,,
kickstart,b,1,energy drink,,,"added sugar, caffeine",,['energy drink'],,,"['added sugar', 'caffeine']",,,
kill cliff pomegranate,b,3,sports drink,,,"caffeine, artificial sweetener",supplement,['sports drink'],,,"['caffeine', 'artificial sweetener']",['supplement'],,
kombucha,b,1,tea,kombucha,,"added sugar, fermented",,['tea'],['kombucha'],,"['added sugar', 'fermented']",,,
kool aid,b,2,other,,,"artificial sweetener, added sugar",,['other'],,,"['artificial sweetener', 'added sugar']",,,
kvass,b,1,grain,rye,,fermented,,['grain'],['rye'],,['fermented'],,,
lactaid,b,1,dairy,milk,,saturated fat,,['dairy'],['milk'],,['saturated fat'],,,
lactaid milk,b,2,,,,,,,,,,,,
lady grey,b,2,tea,,,caffeine,,['tea'],,,['caffeine'],,,
lassi,b,1,"dairy, juice/smoothie","yohurt, fruit",,"fermented, added sugar",dessert,"['dairy', 'juice/smoothie']","['yohurt', 'fruit']",,"['fermented', 'added sugar']",['dessert'],,
latte,b,1,"coffee, dairy",milk,,caffeine,,"['coffee', 'dairy']",['milk'],,['caffeine'],,,
lemon ginger tea,b,3,tea,herbal,,,,['tea'],['herbal'],,,,,
lemon juice,b,2,juice/smoothie,fruit,,,,['juice/smoothie'],['fruit'],,,,,
lemon soda,b,2,,,,,,,,,,,,
lemon tea,b,2,tea,herbal,,,,['tea'],['herbal'],,,,,
lemon water,b,2,juice/smoothie,fruit,,,,['juice/smoothie'],['fruit'],,,,,
lemonade,b,1,juice/smoothie,fruit,,added sugar,,['juice/smoothie'],['fruit'],,['added sugar'],,,
lemongrass,b,1,juice/smoothie,vegetable,,,,['juice/smoothie'],['vegetable'],,,,,
lemongrass tea,b,2,,,,,,,,,,,,
licorice root tea,b,3,,,,,,,,,,,,
light beer,b,2,alcohol,beer,light,fermented,,['alcohol'],['beer'],['light'],['fermented'],,,
lime juice,b,2,juice/smoothie,fruit,,,,['juice/smoothie'],['fruit'],,,,,
lime soda,b,2,,,,,,,,,,,,
limeade,b,1,juice/smoothie,fruit,,added sugar,,['juice/smoothie'],['fruit'],,['added sugar'],,,
limonata,b,1,,,,,,,,,,,,
limoncello,b,1,alcohol,liquor,,fermented,,['alcohol'],['liquor'],,['fermented'],,,
lipton,b,1,tea,black tea,,caffeine,,['tea'],['black tea'],,['caffeine'],,,
liqueur,b,1,alcohol,liquor,straight,added sugar,,['alcohol'],['liquor'],['straight'],['added sugar'],,,
liquor,b,1,alcohol,liquor,,fermented,,['alcohol'],['liquor'],,['fermented'],,,
lmnt,b,1,,,,,,,,,,,,
london fog,b,2,"tea, dairy","black, milk",,,,"['tea', 'dairy']","['black', 'milk']",,,,,
long black,b,2,coffee,,,,,['coffee'],,,,,,
lungo,b,1,coffee,,,caffeine,,['coffee'],,,['caffeine'],,,
macchiato,b,1,"coffee, dairy",milk,,caffeine,,"['coffee', 'dairy']",['milk'],,['caffeine'],,,
mai tai,b,2,alcohol,liquor,mixed,,,['alcohol'],['liquor'],['mixed'],,,,
malbec,b,1,alcohol,wine,,fermented,,['alcohol'],['wine'],,['fermented'],,,
malk,b,1,dairy alternative,nut,,,,['dairy alternative'],['nut'],,,,,
malt,b,1,"dairy, grain","milk, barley, wheat, cream",,"saturated fat, added sugar",,"['dairy', 'grain']","['milk', 'barley', 'wheat', 'cream']",,"['saturated fat', 'added sugar']",,,
mango juice,b,2,"juice/smoothie, fruit",,,,,"['juice/smoothie', 'fruit']",,,,,,
manhattan,b,1,alcohol,liquor,,,,['alcohol'],['liquor'],,,,,
manzanilla,b,1,alcohol,wine,,,,['alcohol'],['wine'],,,,,
maple syrup,b,2,other,syrup,,,,['other'],['syrup'],,,,,
